_kf_producao,dataFusao,ordenacao,_kf_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde), Tempo Total (minutos), NOT BEFORE DATE, DEADLINE
145960,9/1/2025,11,1008,1,668,Pep Set,Chão,Silica,56, 1.00 ,peça,1,1,7,0,7, 7 , 15 , 105 ,8/26/2025,8/28/2025
146354,9/1/2025,12,4283,29,2925,Pep Set,Carrossel,Silica,, 1.00 ,Lote,1,1,16,0,1, 1 , 1 , 1 ,8/26/2025,8/28/2025
145719,9/2/2025,3,4805,5,2694,Pep Set,Vibrado,Silica, 77 , 1 ,peça,1,2,8,2, 6 , 6 , 28 , 168 ,8/27/2025,8/29/2025
146016,9/2/2025,5,2474,1,1502,Pep Set,Carrossel,Silica, 55 , 1 ,peça,1,1,2,0, 2 , 2 , 1 , 3 ,8/27/2025,8/29/2025
143534,9/2/2025,7,4668,1,2578,Cold Box Soprado,Sopradora,Silica, 7 , 1 ,peça,1,1,40,0, 40 , 40 , 1 , 57 ,8/27/2025,8/29/2025
143534,9/2/2025,7,4668,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,3,1,40,0, 30 , 10 , 1 , 14 ,8/27/2025,8/29/2025
143534,9/2/2025,7,4668,30,2926,Pep Set,Carrossel,Silica,, 1 ,Lote,1,1,40,0, 1 , 1 , 1 , 1 ,8/27/2025,8/29/2025
145720,9/2/2025,10,4805,1,2690,Cold Box Gasado,Cold Box 4,Silica,3.294, 2.00 ,peça,1,1,8,0,16, 16 , 3 , 40 ,8/27/2025,8/29/2025
145720,9/2/2025,10,4805,2,2691,Cold Box Gasado,Cold Box 4,Silica, 3 , 2 ,peça,1,1,8,0, 16 , 16 , 3 , 40 ,8/27/2025,8/29/2025
145720,9/2/2025,10,4805,5,2694,Pep Set,Vibrado,Silica, 77 , 1 ,peça,1,2,8,0, 8 , 8 , 28 , 224 ,8/27/2025,8/29/2025
145286,9/2/2025,11,944,6,840,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,4,1,16,0, 16 , 4 , 1 , 6 ,8/27/2025,8/29/2025
