_kp_macho,configuracao,recurso
2302,B,sopradora
2706A / 2A / 3A,A,sopradora
1755D,B,sopradora
2532A,A,sopradora
1A,A,sopradora
101B,A,sopradora
104B,A,sopradora
117D,A,sopradora
385B/386 B,A,sopradora
834,A,sopradora
840,A,sopradora
841,A,sopradora
2501C,A,sopradora
2514B,B,sopradora
2574B/2612 B,A,sopradora
2575B/2576 B,A,sopradora
2577B,A,sopradora
2578A,B,sopradora
2692A,A,sopradora
2693A,A,sopradora
2707B/2715B,A,sopradora
2708B/2709B,A,sopradora
2735A,B,sopradora
2736A,A,sopradora
2629B,A,sopradora
832C,B,sopradora
839C,B,sopradora
150 A,A,vibrado
1398 A,A,vibrado
1619 A,A,vibrado
1850 A,A,vibrado
1971 A,A,vibrado
1948 A,A,vibrado
2077 A,A,vibrado
2066 A,A,vibrado
1649 A,A,vibrado
2184 A,A,vibrado
2172 A,A,vibrado
971 A,A,vibrado
2249 A,A,vibrado
1799 A,A,vibrado
2334 A,A,vibrado
2350 A,A,vibrado
2350 A,A,vibrado
2386 A,A,vibrado
1850 A,A,vibrado
2402 A,A,vibrado
1799 A,A,vibrado
1799 A,A,vibrado
2565 A,A,vibrado
2544 A,A,vibrado
2545 A,A,vibrado
1519 A,A,vibrado
2694 A,A,vibrado
2334 A,A,vibrado
2752 A,A,vibrado
2759 A,A,vibrado
2826 A,A,vibrado
2827 A,A,vibrado
2816 A,A,vibrado
2934 A,A,vibrado
