id,_kf_producao,datafusao,ordenacao,_kf_fichatecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,datahoraprocess,_kf_statusintegration,statusintegrationid,status_create_date,dt
19842,145791,2025-10-23,4,4073,1,835,Pep Set,Chão,Silica,20,1,peça,1,2,12,0,12,12,15,180,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19843,145791,2025-10-23,4,4073,2,836,Pep Set,Carrossel,Silica,27,1,peça,1,1,12,0,12,12,1,15,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19844,145791,2025-10-23,4,4073,3,837,Pep Set,Carrossel,Silica,6,1,peça,1,1,12,0,12,12,1,15,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19845,145791,2025-10-23,4,4073,4,838,Pep Set,Carrossel,Silica,6,1,peça,1,1,12,0,12,12,1,15,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19846,145791,2025-10-23,4,4073,5,839,Pep Set,Carrossel,Silica,1,1,peça,1,2,12,0,12,12,1,15,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19847,145791,2025-10-23,4,4073,6,840,Cold Box Soprado,Sopradora,Silica,2,1,peça,4,1,12,0,12,3,1,4,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19848,145791,2025-10-23,4,4073,7,841,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,12,0,12,3,1,4,2025-10-17,2025-10-21,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19849,146087,2025-10-22,12,4759,1,2675,Pep Set,Carrossel,Silica,30,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19850,146087,2025-10-22,12,4759,2,2676,Pep Set,Carrossel,Silica,29,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19851,146087,2025-10-22,12,4759,3,2677,Pep Set,Carrossel,Silica,24,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19852,146087,2025-10-22,12,4759,4,2678,Pep Set,Carrossel,Silica,14,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19853,146087,2025-10-22,12,4759,5,2679,Pep Set,Carrossel,Silica,15,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19854,146087,2025-10-22,12,4759,6,2680,Pep Set,Carrossel,Silica,13,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19855,146087,2025-10-22,12,4759,7,2681,Pep Set,Carrossel,Silica,13,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19856,146087,2025-10-22,12,4759,8,2682,Pep Set,Carrossel,Silica,11,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19857,146087,2025-10-22,12,4759,9,2683,Pep Set,Carrossel,Silica,11,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19858,146087,2025-10-22,12,4759,10,2684,Pep Set,Carrossel,Silica,10,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19859,146087,2025-10-22,12,4759,11,2685,Pep Set,Carrossel,Silica,10,1,peça,1,1,6,0,6,6,1,8,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19860,146087,2025-10-22,12,4759,20,2629,Cold Box Soprado,Sopradora,Silica,2,3,peça,3,1,6,0,18,6,1,9,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19861,146129,2025-10-22,8,4822,1,2612,Cold Box Soprado,Sopradora,Silica,0,4,peça,6,1,12,0,48,8,1,11,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19862,146129,2025-10-22,8,4822,2,2574,Cold Box Soprado,Sopradora,Silica,0,4,peça,6,1,12,0,48,8,1,11,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19863,146155,2025-10-24,13,551,22,2906,Cold Box Gasado,Cold Box Pequena,Silica,8,1,Molde,2,1,266,0,19,10,3,24,2025-10-20,2025-10-22,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19864,146167,2025-10-27,8,3333,1,1843,Cold Box Gasado,Cold Box Pequena,Silica,0,1,peça,2,2,130,0,130,65,3,163,2025-10-21,2025-10-23,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19865,146195,2025-10-21,11,643,1,459,Cold Box Gasado,Cold Box Pequena,Zirconita,0,1,peça,2,2,112,0,112,56,3,140,2025-10-15,2025-10-17,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19866,146196,2025-10-21,5,529,1,363,Cold Box Gasado,Cold Box Pequena,Zirconita,0,1,peça,2,2,144,80,64,32,3,80,2025-10-15,2025-10-17,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19867,146364,2025-10-21,8,945,1,90,Pep Set,Carrossel,Silica,22,1,peça,1,2,20,0,20,20,1,25,2025-10-15,2025-10-17,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
19868,146364,2025-10-21,8,945,2,91,Pep Set,Carrossel,Silica,16,1,peça,1,2,20,0,20,20,1,25,2025-10-15,2025-10-17,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19
