OP,caixa,_kf_macho,maquina,fim,not_before_date,deadline,config,tempo_processamento,inicio,status_integration_id,Status_Processed
146691,1.0,2780.0,pepset_chao,2025-10-20 04:15:00,2025-10-20,2025-10-20,,15,2025-10-20 04:00:00,41,
146691,2.0,2781.0,pepset_chao,2025-10-20 05:15:00,2025-10-20,2025-10-20,,60,2025-10-20 04:15:00,41,
146691,4.0,2783.0,pepset_chao,2025-10-20 06:15:00,2025-10-20,2025-10-20,,60,2025-10-20 05:15:00,41,
147331,2.0,1442.0,pepset_chao,2025-10-20 07:45:00,2025-10-20,2025-10-20,,90,2025-10-20 06:15:00,41,
147331,3.0,1443.0,pepset_chao,2025-10-20 10:00:00,2025-10-20,2025-10-20,,135,2025-10-20 07:45:00,41,
147212,1.0,668.0,pepset_chao,2025-10-20 11:45:00,2025-10-20,2025-10-20,,105,2025-10-20 10:00:00,41,
147391,1.0,909.0,pepset_chao,2025-10-20 12:00:00,2025-10-20,2025-10-21,,15,2025-10-20 11:45:00,41,
147365,1.0,1444.0,pepset_chao,2025-10-20 12:30:00,2025-10-20,2025-10-20,,30,2025-10-20 12:00:00,41,
147371,1.0,912.0,pepset_chao,2025-10-20 13:15:00,2025-10-20,2025-10-21,,45,2025-10-20 12:30:00,41,
147331,1.0,1440.0,pepset_chao,2025-10-20 14:51:00,2025-10-20,2025-10-20,,96,2025-10-20 13:15:00,41,
147214,1.0,668.0,pepset_chao,2025-10-20 16:36:00,2025-10-20,2025-10-22,,105,2025-10-20 14:51:00,41,
145791,1.0,835.0,pepset_chao,2025-10-20 20:21:00,2025-10-20,2025-10-21,,225,2025-10-20 16:36:00,41,
148406,1.0,2961.0,pepset_chao,2025-10-20 04:15:00,2025-10-20,2025-10-20,,15,2025-10-20 04:00:00,41,
148407,1.0,2962.0,pepset_chao,2025-10-20 04:30:00,2025-10-20,2025-10-20,,15,2025-10-20 04:15:00,41,
147034,1.0,113.0,pepset_chao,2025-10-20 05:00:00,2025-10-20,2025-10-20,,30,2025-10-20 04:30:00,41,
146989,1.0,113.0,pepset_chao,2025-10-20 07:00:00,2025-10-20,2025-10-20,,120,2025-10-20 05:00:00,41,
146991,1.0,113.0,pepset_chao,2025-10-20 09:00:00,2025-10-20,2025-10-21,,120,2025-10-20 07:00:00,41,
146992,1.0,113.0,pepset_chao,2025-10-20 11:45:00,2025-10-20,2025-10-22,,120,2025-10-20 09:45:00,41,
