id,_kf_producao,datafusao,ordenacao,_kf_fichatecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,datahoraprocess,_kf_statusintegration,statusintegrationid,status_create_date,dt,maquina,not_sequence,inicio,fim
19900,146490,2025-10-21,1,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-10-15,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:00:00,2025-10-20 04:04:00
19912,146492,2025-10-22,1,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:04:00,2025-10-20 04:08:00
20031,146987,2025-10-22,3,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:08:00,2025-10-20 04:10:00
20073,147033,2025-10-22,3,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:10:00,2025-10-20 04:12:00
19940,146520,2025-10-22,4,4621,20,2629,coldboxsoprado,sopradora,Silica,2.0,3,peça,3,1,6,0,18,6,1,9,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:12:00,2025-10-20 04:18:00
19963,146596,2025-10-21,4,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-15,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:18:00,2025-10-20 04:20:00
19984,146708,2025-10-21,4,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-10-15,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:20:00,2025-10-20 04:22:00
19920,146493,2025-10-22,6,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:22:00,2025-10-20 04:26:00
20221,147331,2025-10-21,6,4993,20,2629,coldboxsoprado,sopradora,Silica,2.0,3,Molde,3,1,6,0,9,3,1,4,2025-10-15,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:26:00,2025-10-20 04:29:00
19861,146129,2025-10-22,8,4822,1,2612,coldboxsoprado,sopradora,Silica,0.0,4,peça,6,1,12,0,48,8,1,11,2025-10-16,2025-10-20,19/10/2025 23:30:07,41,41,2025-10-19 23:30:07.000,2025-10-19,coldboxsoprado_sopradora,True,2025-10-20 04:39:00,2025-10-20 04:47:00
