id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt
7136,144185,2025-09-30,6,152,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,168,0,1,1,1,1,2025-09-26,2025-09-26,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7137,145268,2025-09-29,12,5134,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-09-25,2025-09-25,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7138,145269,2025-10-01,14,5134,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-09-29,2025-09-29,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7139,145270,2025-10-02,7,5134,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7140,145271,2025-10-03,13,5134,1,2919,Pep Set,Carrossel,Silica,9,1,peça,1,1,16,0,16,16,1,20,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7141,145271,2025-10-03,13,5134,6,840,Cold Box Soprado,Sopradora,Silica,2,1,peça,4,1,16,0,16,4,1,6,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7142,145271,2025-10-03,13,5134,7,834,Cold Box Soprado,Sopradora,Silica,1,1,peça,4,1,16,0,16,4,1,6,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7143,145271,2025-10-03,13,5134,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7144,145489,2025-09-30,16,4759,1,2675,Pep Set,Carrossel,Silica,30,1,peça,1,1,6,5,1,1,1,1,2025-09-26,2025-09-26,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7145,145489,2025-09-30,16,4759,20,2629,Cold Box Soprado,Sopradora,Silica,2,3,peça,3,1,6,0,18,6,1,9,2025-09-26,2025-09-26,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7146,145563,2025-10-02,10,5066,2,2867,Pep Set,Chão,Silica,16,1,peça,1,1,7,0,7,7,15,105,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7147,145564,2025-10-03,10,5066,1,2699,Pep Set,Carrossel,Silica,5,1,peça,2,1,7,0,7,4,1,4,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7148,145564,2025-10-03,10,5066,2,2867,Pep Set,Chão,Silica,16,1,peça,1,1,7,0,7,7,15,105,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7149,145565,2025-10-02,10,5067,2,2868,Pep Set,Chão,Silica,16,1,peça,1,1,7,0,7,7,15,105,2025-09-30,2025-09-30,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7150,145566,2025-10-03,10,5067,1,2701,Pep Set,Carrossel,Silica,5,1,peça,2,1,7,0,7,4,1,4,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
7151,145566,2025-10-03,10,5067,2,2868,Pep Set,Chão,Silica,16,1,peça,1,1,7,0,7,7,15,105,2025-10-01,2025-10-01,29/09/2025 07:45:24,14,14,2025-09-29 07:45:24.420000000,2025-09-29
