_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline,c.a.,LEAD TIME (DIAS)
143792,7/14/2025,5,5155,25,Pep Set,Carrossel,Silica,4.100 ,1,Molde,2,1,216,0, 12 ,6,1.25, 8 ,7/8/2025,7/10/2025, 8 , -   
143793,7/14/2025,20,5155,25,Pep Set,Carrossel,Silica,4.1, 1.00 ,Molde,2,1,216,0,12,6,1.25, 8 ,7/8/2025,7/10/2025, 8 , -   
144896,7/15/2025,1,4690,3,Cold Box Gasado,Cold Box Pequena,Silica,3.025 ,1,peça,1,1,8,0,8,8,2.5, 20 ,7/9/2025,7/11/2025, 20 , -   
144451,7/15/2025,5,4339,7,Cold Box Soprado,Sopradora,Silica,1.360 ,1,peça,4,1,12,0,12,3,1.42, 4 ,7/9/2025,7/11/2025, 4 , -   
144897,7/15/2025,6,4690,1,Cold Box Gasado,Cold Box 4,Silica,21.000 ,1,peça,1,2,8,0,8,8,2.5, 20 ,7/9/2025,7/11/2025, 40 , -   
144897,7/15/2025,6,4690,3,Cold Box Gasado,Cold Box Pequena,Silica,3.025 ,1,peça,1,1,8,0,8,8,2.5, 20 ,7/9/2025,7/11/2025, 40 , -   
145015,7/15/2025,6,4689,1,Cold Box Gasado,Cold Box 4,Silica,21.000 ,1,peça,1,2,8,0,8,8,2.5, 20 ,7/9/2025,7/11/2025, 20 , -   
143794,7/15/2025,12,5155,25,Pep Set,Carrossel,Silica,4.100 ,1,Molde,2,1,216,0,12,6,1.25, 8 ,7/9/2025,7/11/2025, 8 , -   
144920,7/15/2025,14,4690,1,Cold Box Gasado,Cold Box 4,Silica,21, 1.00 ,peça,1,2,8,0,8,8,2.5, 20 ,7/9/2025,7/11/2025, 40 , -   
144920,7/15/2025,14,4690,3,Cold Box Gasado,Cold Box Pequena,Silica,3.025, 1.00 ,peça,1,1,8,0,8,8,2.5, 20 ,7/9/2025,7/11/2025, 40 , -   
145016,7/15/2025,14,4689,1,Cold Box Gasado,Cold Box 4,Silica,21.000 ,1,peça,1,2,8,0,8,8,2.5, 20 ,7/9/2025,7/11/2025, 40 , -   
145016,7/15/2025,14,4689,3,Cold Box Gasado,Cold Box Pequena,Silica,3.025 ,1,peça,1,1,8,0,8,8,2.5, 20 ,7/9/2025,7/11/2025, 40 , -   
145007,7/16/2025,1,4690,1,Cold Box Gasado,Cold Box 4,Silica,21.000 ,1,peça,1,2,8,0,8,8,2.5, 20 ,7/10/2025,7/14/2025, 20 , -   
145007,7/16/2025,1,4690,4,Cold Box Soprado,Sopradora,Silica,0.625 ,1,peça,4,1,8,0,8,2,1.42, 3 ,7/10/2025,7/14/2025, 6 , -   
145007,7/16/2025,1,4690,20,Cold Box Soprado,Sopradora,Silica,1.728 ,0.75,peça,3,1,8,0,6,2,1.42, 3 ,7/10/2025,7/14/2025, 6 , -   
145017,7/16/2025,1,4689,1,Cold Box Gasado,Cold Box 4,Silica,21.000 ,1,peça,1,2,8,0,8,8,2.5, 20 ,7/10/2025,7/14/2025, 20 , -   
145017,7/16/2025,1,4689,4,Cold Box Soprado,Sopradora,Silica,0.625, 1.00 ,peça,4,1,8,0,8,2,1.42, 3 ,7/10/2025,7/14/2025, 6 , -   
145017,7/16/2025,1,4689,20,Cold Box Soprado,Sopradora,Silica,1.728, 0.75 ,peça,3,1,8,0,6,2,1.42, 3 ,7/10/2025,7/14/2025, 6 , -   
