_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline,c.a.,LEAD TIME (DIAS),not_sequence,inicio,fim
144896,7/15/2025,1.0,4690,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,0,8,8.0,2.5,20.0,2025-07-09,2025-07-11, 20 , -   ,True,2025-07-11 00:00:00,2025-07-11 00:20:00
144897,7/15/2025,6.0,4690,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,0,8,8.0,2.5,20.0,2025-07-09,2025-07-11, 40 , -   ,True,2025-07-11 00:20:00,2025-07-11 00:40:00
144920,7/15/2025,14.0,4690,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,0,8,8.0,2.5,20.0,2025-07-09,2025-07-11, 40 , -   ,True,2025-07-11 00:40:00,2025-07-11 01:00:00
145016,7/15/2025,14.0,4689,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,0,8,8.0,2.5,20.0,2025-07-09,2025-07-11, 40 , -   ,True,2025-07-11 01:00:00,2025-07-11 01:20:00
144974,7/16/2025,5.0,4339,3,coldboxgasado,coldboxpequena,Silica,6.4,1.0,peça,1.0,1,12,9,3,3.0,2.5,8.0,2025-07-10,2025-07-14, 8 , -   ,True,2025-07-11 01:20:00,2025-07-11 01:28:00
144740,7/16/2025,12.0,4236,24,coldboxgasado,coldboxpequena,Silica,9.58,1.0,Molde,2.0,1,21,0,1,0.5,2.5,1.0,2025-07-10,2025-07-14, 1 , -   ,True,2025-07-11 01:28:00,2025-07-11 01:29:00
145009,7/17/2025,1.0,4690,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,0,8,8.0,2.5,20.0,2025-07-11,2025-07-15, 40 , -   ,True,2025-07-11 01:29:00,2025-07-11 01:49:00
145019,7/17/2025,1.0,4689,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,0,8,8.0,2.5,20.0,2025-07-11,2025-07-15, 40 , -   ,True,2025-07-11 01:49:00,2025-07-11 02:09:00
145010,7/17/2025,9.0,4690,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,7,1,1.0,2.5,3.0,2025-07-11,2025-07-15, 23 , -   ,True,2025-07-11 02:09:00,2025-07-11 02:12:00
145020,7/17/2025,9.0,4689,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,0,8,8.0,2.5,20.0,2025-07-11,2025-07-15, 40 , -   ,True,2025-07-11 02:12:00,2025-07-11 02:32:00
143628,7/17/2025,11.0,4550,1,coldboxgasado,coldboxpequena,Silica,4.86,0.5,peça,1.0,1,240,35,85,85.0,2.5,213.0,2025-07-11,2025-07-15, 430 , -   ,True,2025-07-11 02:32:00,2025-07-11 06:05:00
143628,7/17/2025,11.0,4550,2,coldboxgasado,coldboxpequena,Silica,4.86,0.5,peça,1.0,1,240,33,87,87.0,2.5,218.0,2025-07-11,2025-07-15, 430 , -   ,True,2025-07-11 06:05:00,2025-07-11 09:43:00
145011,7/17/2025,14.0,4690,3,coldboxgasado,coldboxpequena,Silica,3.025,1.0,peça,1.0,1,8,0,8,8.0,2.5,20.0,2025-07-11,2025-07-15, 40 , -   ,True,2025-07-11 09:43:00,2025-07-11 10:03:00
