id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt
30520,146345,2025-11-14,10,2671,23,2907,Cold Box Gasado,Cold Box Pequena,Silica,10,1,Molde,2,1,238,15,2,1,3,3,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30521,146558,2025-11-18,14,4758,1,2667,Pep Set,Carrossel,Silica,24,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30522,146558,2025-11-18,14,4758,2,2668,Pep Set,Carrossel,Silica,32,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30523,146558,2025-11-18,14,4758,3,2669,Pep Set,Carrossel,Silica,23,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30524,146558,2025-11-18,14,4758,4,2670,Pep Set,Carrossel,Silica,11,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30525,146558,2025-11-18,14,4758,5,2671,Pep Set,Carrossel,Silica,10,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30526,146558,2025-11-18,14,4758,6,2672,Pep Set,Carrossel,Silica,10,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30527,146558,2025-11-18,14,4758,7,2673,Pep Set,Carrossel,Silica,4,1,peça,1,1,14,0,14,14,1,18,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30528,146558,2025-11-18,14,4758,20,2629,Cold Box Soprado,Sopradora,Silica,2,2,peça,3,1,14,0,21,7,1,10,2025-11-12,2025-11-14,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30529,146610,2025-11-13,13,5155,1,2971,Pep Set,Carrossel,Silica,23,1,Molde,1,1,216,0,12,12,1,15,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30530,146611,2025-11-17,15,5155,1,2971,Pep Set,Carrossel,Silica,23,1,Molde,1,1,216,0,12,12,1,15,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30531,146776,2025-11-12,9,4396,1,2302,Cold Box Soprado,Sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30532,146777,2025-11-14,15,4396,1,2302,Cold Box Soprado,Sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30533,146778,2025-11-17,11,4396,1,2302,Cold Box Soprado,Sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30534,146784,2025-11-17,4,4135,1,2301,Cold Box Gasado,Cold Box Pequena,Silica,6,1,peça,1,2,84,48,36,36,3,90,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30535,146784,2025-11-17,4,4135,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,84,0,1,1,1,1,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30536,146791,2025-11-13,8,4748,1,2647,Pep Set,Carrossel,Silica,14,1,peça,1,1,36,2,34,34,1,43,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30537,146856,2025-11-17,8,3333,1,1843,Cold Box Gasado,Cold Box Pequena,Silica,0,1,peça,2,2,130,0,130,65,3,163,2025-11-11,2025-11-13,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30538,146923,2025-11-14,11,2671,23,2907,Cold Box Gasado,Cold Box Pequena,Silica,10,1,Molde,2,1,238,0,17,9,3,21,2025-11-10,2025-11-12,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30539,146962,2025-11-07,8,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-03,2025-11-05,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30540,146963,2025-11-10,11,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-04,2025-11-06,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
30541,146964,2025-11-11,13,4292,30,2926,Pep Set,Carrossel,Silica,\N,1,Lote,1,1,72,0,1,1,1,1,2025-11-05,2025-11-07,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09
