id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,StatusIntegrationId,status_create_date,dt,maquina,not_sequence,inicio,fim
30667,147108,2025-11-11,10,5134,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-11-05,2025-11-07,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 04:00:00,2025-11-10 04:08:00
30676,147128,2025-11-12,2,5135,20,2629,coldboxsoprado,sopradora,Silica,2,2,peça,3,1,16,0,24,8,1,11,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 04:08:00,2025-11-10 04:16:00
30552,146995,2025-11-12,5,4689,2,114,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 04:16:00,2025-11-10 04:20:00
30554,146995,2025-11-12,5,4689,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 04:20:00,2025-11-10 04:22:00
30580,147041,2025-11-12,5,4690,2,114,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 04:22:00,2025-11-10 04:26:00
30582,147041,2025-11-12,5,4690,4,385,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,8,0,8,2,1,3,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 04:26:00,2025-11-10 04:28:00
30583,147041,2025-11-12,5,4690,20,2629,coldboxsoprado,sopradora,Silica,2,1,peça,3,1,8,0,6,2,1,3,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 04:38:00,2025-11-10 04:40:00
30531,146776,2025-11-12,9,4396,1,2302,coldboxsoprado,sopradora,Silica,11,1,peça,1,1,48,0,48,48,1,68,2025-11-06,2025-11-10,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 05:10:00,2025-11-10 05:58:00
30619,147076,2025-11-13,2,4805,3,2692,coldboxsoprado,sopradora,Silica,3,1,peça,2,1,8,0,8,4,1,6,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 06:28:00,2025-11-10 06:32:00
30620,147076,2025-11-13,2,4805,4,2693,coldboxsoprado,sopradora,Silica,1,4,peça,4,1,8,0,32,8,1,11,2025-11-07,2025-11-11,09/11/2025 23:02:02,67,67,2025-11-09 23:02:03.000000000,2025-11-09,coldboxsoprado_sopradora,True,2025-11-10 06:42:00,2025-11-10 06:50:00
