OP,caixa,_kf_macho,maquina,fim,not_before_date,deadline,config,tempo_processamento,inicio,status_integration_id,Status_Processed
146995,3.0,115.0,coldboxgasado_coldboxpequena,2025-11-11 04:24:00,2025-11-06,2025-11-10,,24,2025-11-11 04:00:00,68,
147041,3.0,98.0,coldboxgasado_coldboxpequena,2025-11-11 04:48:00,2025-11-06,2025-11-10,,24,2025-11-11 04:24:00,68,
147390,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-11 05:09:00,2025-11-06,2025-11-10,,21,2025-11-11 04:48:00,68,
146345,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-11 05:12:00,2025-11-10,2025-11-12,,3,2025-11-11 05:09:00,68,
148601,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-11 05:15:00,2025-11-10,2025-11-12,,3,2025-11-11 05:12:00,68,
148602,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-11 05:30:00,2025-11-10,2025-11-12,,15,2025-11-11 05:15:00,68,
148453,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-11 05:54:00,2025-11-07,2025-11-11,,24,2025-11-11 05:30:00,68,
146923,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-11 06:21:00,2025-11-10,2025-11-12,,27,2025-11-11 05:54:00,68,
148731,27.0,2923.0,coldboxgasado_coldboxpequena,2025-11-11 06:24:00,2025-11-11,2025-11-13,,3,2025-11-11 06:21:00,68,
148603,24.0,2908.0,coldboxgasado_coldboxpequena,2025-11-11 06:30:00,2025-11-10,2025-11-12,,6,2025-11-11 06:24:00,68,
148731,2.0,348.0,coldboxgasado_coldboxpequena,2025-11-11 06:48:00,2025-11-11,2025-11-13,,18,2025-11-11 06:30:00,68,
146996,3.0,115.0,coldboxgasado_coldboxpequena,2025-11-11 07:12:00,2025-11-07,2025-11-11,,24,2025-11-11 06:48:00,68,
146997,3.0,115.0,coldboxgasado_coldboxpequena,2025-11-11 07:36:00,2025-11-10,2025-11-12,,24,2025-11-11 07:12:00,68,
146998,3.0,115.0,coldboxgasado_coldboxpequena,2025-11-11 08:00:00,2025-11-11,2025-11-13,,24,2025-11-11 07:36:00,68,
146999,3.0,115.0,coldboxgasado_coldboxpequena,2025-11-11 08:24:00,2025-11-11,2025-11-13,,24,2025-11-11 08:00:00,68,
147042,3.0,98.0,coldboxgasado_coldboxpequena,2025-11-11 08:48:00,2025-11-07,2025-11-11,,24,2025-11-11 08:24:00,68,
