id,_kf_producao,datafusao,ordenacao,_kf_fichatecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,tempo_total,not_before_date,deadline,datahoraprocess,_kf_statusintegration,statusintegrationid,status_create_date,dt,maquina,not_sequence,inicio,fim
30940,147108,2025-11-11,3,5134,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,16,0,24,8,1,11,2025-11-05,2025-11-07,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 04:00:00,2025-11-11 04:08:00
30944,147128,2025-11-12,2,5135,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,16,0,24,8,1,11,2025-11-06,2025-11-10,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 04:08:00,2025-11-11 04:16:00
30822,146995,2025-11-12,5,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-11-06,2025-11-10,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 04:16:00,2025-11-11 04:18:00
30855,147041,2025-11-12,5,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-11-06,2025-11-10,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 04:18:00,2025-11-11 04:20:00
30803,146776,2025-11-12,9,4396,1,2302,coldboxsoprado,sopradora,Silica,11.0,1,peça,1,1,48,8,40,40,1,57,2025-11-06,2025-11-10,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 04:50:00,2025-11-11 05:30:00
30897,147076,2025-11-13,2,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-11-07,2025-11-11,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 06:00:00,2025-11-11 06:04:00
30825,146996,2025-11-13,3,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-11-07,2025-11-11,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 06:04:00,2025-11-11 06:06:00
30858,147042,2025-11-13,3,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-11-07,2025-11-11,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 06:06:00,2025-11-11 06:08:00
30955,147165,2025-11-13,4,4755,2,117,coldboxsoprado,sopradora,Silica,6.0,1,peça,2,1,20,0,20,10,1,14,2025-11-07,2025-11-11,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 06:18:00,2025-11-11 06:28:00
30956,147165,2025-11-13,4,4755,3,2514,coldboxsoprado,sopradora,Silica,3.0,1,peça,4,1,20,0,20,5,1,7,2025-11-07,2025-11-11,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 06:58:00,2025-11-11 07:03:00
30899,147077,2025-11-13,7,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-11-07,2025-11-11,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 07:33:00,2025-11-11 07:37:00
30813,146966,2025-11-13,11,4292,1,1755,coldboxsoprado,sopradora,Silica,12.0,1,peça,1,1,72,59,13,13,1,18,2025-11-07,2025-11-11,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 08:07:00,2025-11-11 08:20:00
30958,147168,2025-11-14,1,4755,2,117,coldboxsoprado,sopradora,Silica,6.0,1,peça,2,1,20,0,20,10,1,14,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 08:50:00,2025-11-11 09:00:00
30959,147168,2025-11-14,1,4755,3,2514,coldboxsoprado,sopradora,Silica,3.0,1,peça,4,1,20,0,20,5,1,7,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 09:45:00,2025-11-11 09:50:00
30903,147078,2025-11-14,3,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 10:20:00,2025-11-11 10:24:00
30960,147207,2025-11-14,4,5134,6,840,coldboxsoprado,sopradora,Silica,2.0,1,peça,4,1,16,0,16,4,1,6,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 10:34:00,2025-11-11 10:38:00
30961,147207,2025-11-14,4,5134,7,834,coldboxsoprado,sopradora,Silica,1.0,1,peça,4,1,16,0,16,4,1,6,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 10:48:00,2025-11-11 10:52:00
30962,147207,2025-11-14,4,5134,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,16,0,24,8,1,11,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 11:02:00,2025-11-11 11:10:00
30827,146997,2025-11-14,5,4689,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 11:10:00,2025-11-11 11:14:00
30829,146997,2025-11-14,5,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 11:14:00,2025-11-11 11:16:00
30860,147043,2025-11-14,5,4690,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 11:16:00,2025-11-11 11:20:00
30862,147043,2025-11-14,5,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 11:20:00,2025-11-11 11:22:00
30909,147079,2025-11-14,6,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 11:22:00,2025-11-11 11:26:00
30945,147129,2025-11-14,12,5135,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,16,0,24,8,1,11,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 11:26:00,2025-11-11 11:34:00
30804,146777,2025-11-14,15,4396,1,2302,coldboxsoprado,sopradora,Silica,11.0,1,peça,1,1,48,0,48,48,1,68,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 12:04:00,2025-11-11 12:52:00
30815,146967,2025-11-14,16,4292,1,1755,coldboxsoprado,sopradora,Silica,12.0,1,peça,1,1,72,0,72,72,1,102,2025-11-10,2025-11-12,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 13:30:00,2025-11-11 14:42:00
30831,146998,2025-11-17,1,4689,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 14:42:00,2025-11-11 14:46:00
30833,146998,2025-11-17,1,4689,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 14:46:00,2025-11-11 14:48:00
30864,147044,2025-11-17,1,4690,2,114,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 14:48:00,2025-11-11 14:52:00
30866,147044,2025-11-17,1,4690,4,385,coldboxsoprado,sopradora,Silica,1.0,1,peça,4,1,8,0,8,2,1,3,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 14:52:00,2025-11-11 14:54:00
30867,147044,2025-11-17,1,4690,20,2629,coldboxsoprado,sopradora,Silica,2.0,1,peça,3,1,8,0,6,2,1,3,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 15:04:00,2025-11-11 15:06:00
30912,147080,2025-11-17,2,4805,3,2692,coldboxsoprado,sopradora,Silica,3.0,1,peça,2,1,8,0,8,4,1,6,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 15:16:00,2025-11-11 15:20:00
30913,147080,2025-11-17,2,4805,4,2693,coldboxsoprado,sopradora,Silica,1.0,4,peça,4,1,8,0,32,8,1,11,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 15:30:00,2025-11-11 15:38:00
30919,147080,2025-11-17,2,4805,20,2629,coldboxsoprado,sopradora,Silica,2.0,2,peça,3,1,8,0,12,4,1,6,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 15:48:00,2025-11-11 15:52:00
30987,148503,2025-11-17,5,4822,1,2612,coldboxsoprado,sopradora,Silica,0.0,2,peça,6,1,12,0,24,4,1,6,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 16:02:00,2025-11-11 16:06:00
30988,148503,2025-11-17,5,4822,2,2574,coldboxsoprado,sopradora,Silica,0.0,2,peça,6,1,12,0,24,4,1,6,2025-11-11,2025-11-13,10/11/2025 23:02:03,68,68,2025-11-10 23:02:03.000,2025-11-10,coldboxsoprado_sopradora,True,2025-11-11 16:06:00,2025-11-11 16:10:00
