"id","_kf_producao","datafusao","ordenacao","_kf_fichatecnica","caixa","_kf_macho","processo","recurso","areia","peso","qtd_machos","qtd_machos_por","figuras","qtd_replicas","qtd_op","qtd_realizada","qtd_pendente","qtd_moldes","tempo_ciclo","tempo_total","not_before_date","deadline","datahoraprocess","_kf_statusintegration","statusintegrationid","status_create_date","dt"
"28523","146344","2025-11-11","10","2671","23","2907","Cold Box Gasado","Cold Box Pequena","Silica","10","1","Molde","2","1","238","0","17","9","3","21","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28524","146345","2025-11-11","11","2671","23","2907","Cold Box Gasado","Cold Box Pequena","Silica","10","1","Molde","2","1","238","0","17","9","3","21","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28525","146558","2025-11-13","20","4758","1","2667","Pep Set","Carrossel","Silica","24","1","peça","1","1","14","0","14","14","1","18","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28526","146558","2025-11-13","20","4758","2","2668","Pep Set","Carrossel","Silica","32","1","peça","1","1","14","0","14","14","1","18","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28527","146558","2025-11-13","20","4758","3","2669","Pep Set","Carrossel","Silica","23","1","peça","1","1","14","0","14","14","1","18","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28528","146558","2025-11-13","20","4758","4","2670","Pep Set","Carrossel","Silica","11","1","peça","1","1","14","0","14","14","1","18","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28529","146558","2025-11-13","20","4758","5","2671","Pep Set","Carrossel","Silica","10","1","peça","1","1","14","0","14","14","1","18","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28530","146558","2025-11-13","20","4758","6","2672","Pep Set","Carrossel","Silica","10","1","peça","1","1","14","0","14","14","1","18","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28531","146558","2025-11-13","20","4758","7","2673","Pep Set","Carrossel","Silica","4","1","peça","1","1","14","0","14","14","1","18","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28532","146558","2025-11-13","20","4758","20","2629","Cold Box Soprado","Sopradora","Silica","2","2","peça","3","1","14","0","21","7","1","10","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28533","146609","2025-11-13","9","2672","23","2907","Cold Box Gasado","Cold Box Pequena","Silica","10","1","Molde","2","1","238","0","17","9","3","21","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28534","146776","2025-11-12","10","4396","1","2302","Cold Box Soprado","Sopradora","Silica","11","1","peça","1","1","48","0","48","48","1","68","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28535","146777","2025-11-14","20","4396","1","2302","Cold Box Soprado","Sopradora","Silica","11","1","peça","1","1","48","0","48","48","1","68","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28536","146784","2025-11-12","12","4135","1","2301","Cold Box Gasado","Cold Box Pequena","Silica","6","1","peça","1","2","84","0","84","84","3","210","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28537","146784","2025-11-12","12","4135","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","84","0","1","1","1","1","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28538","146791","2025-11-12","9","4748","1","2647","Pep Set","Carrossel","Silica","14","1","peça","1","1","36","0","36","36","1","45","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28539","146867","2025-11-07","4","4759","1","2675","Pep Set","Carrossel","Silica","30","1","peça","1","1","6","0","6","6","1","8","2025-11-03","2025-11-05","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28540","146867","2025-11-07","4","4759","2","2676","Pep Set","Carrossel","Silica","29","1","peça","1","1","6","0","6","6","1","8","2025-11-03","2025-11-05","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28541","146867","2025-11-07","4","4759","4","2678","Pep Set","Carrossel","Silica","14","1","peça","1","1","6","5","1","1","1","1","2025-11-03","2025-11-05","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28542","146867","2025-11-07","4","4759","20","2629","Cold Box Soprado","Sopradora","Silica","2","3","peça","3","1","6","0","18","6","1","9","2025-11-03","2025-11-05","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28543","146923","2025-11-12","11","2671","23","2907","Cold Box Gasado","Cold Box Pequena","Silica","10","1","Molde","2","1","238","0","17","9","3","21","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28544","146962","2025-11-07","13","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-03","2025-11-05","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28545","146963","2025-11-10","11","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-04","2025-11-06","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28546","146964","2025-11-11","14","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28547","146964","2025-11-11","14","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28548","146965","2025-11-12","13","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28549","146965","2025-11-12","13","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28550","146966","2025-11-13","12","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28551","146966","2025-11-13","12","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28552","146967","2025-11-14","13","4292","1","1755","Cold Box Soprado","Sopradora","Silica","12","1","peça","1","1","72","0","72","72","1","102","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28553","146967","2025-11-14","13","4292","30","2926","Pep Set","Carrossel","Silica","","1","Lote","1","1","72","0","1","1","1","1","2025-11-10","2025-11-12","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28554","146986","2025-11-11","4","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","4","4","4","15","60","2025-11-05","2025-11-07","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28555","146995","2025-11-12","5","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28556","146995","2025-11-12","5","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28557","146995","2025-11-12","5","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28558","146995","2025-11-12","5","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-06","2025-11-10","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28559","146996","2025-11-13","4","4689","1","113","Pep Set","Chão","Silica","","1","peça","1","2","8","0","8","8","15","120","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28560","146996","2025-11-13","4","4689","2","114","Cold Box Soprado","Sopradora","Silica","3","1","peça","2","1","8","0","8","4","1","6","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28561","146996","2025-11-13","4","4689","3","115","Cold Box Gasado","Cold Box Pequena","Silica","3","1","peça","1","1","8","0","8","8","3","20","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
"28562","146996","2025-11-13","4","4689","20","2629","Cold Box Soprado","Sopradora","Silica","2","1","peça","3","1","8","0","6","2","1","3","2025-11-07","2025-11-11","05/11/2025 14:26:54","60","60","2025-11-05 14:30:46.000","2025-11-05"
