OP,caixa,_kf_macho,maquina,fim,not_before_date,deadline,config,tempo_processamento,inicio,status_integration_id,Status_Processed
148411,27.0,2923.0,coldboxgasado_coldboxpequena,2025-11-06 04:06:00,2025-10-31,2025-11-04,,6,2025-11-06 04:00:00,60,
148412,1.0,347.0,coldboxgasado_coldboxpequena,2025-11-06 06:21:00,2025-10-31,2025-11-04,,135,2025-11-06 04:06:00,60,
147395,22.0,2906.0,coldboxgasado_coldboxpequena,2025-11-06 06:51:00,2025-11-03,2025-11-05,,30,2025-11-06 06:21:00,60,
148403,22.0,2906.0,coldboxgasado_coldboxpequena,2025-11-06 06:54:00,2025-11-03,2025-11-05,,3,2025-11-06 06:51:00,60,
146995,3.0,115.0,coldboxgasado_coldboxpequena,2025-11-06 07:18:00,2025-11-06,2025-11-07,,24,2025-11-06 06:54:00,60,
147041,3.0,98.0,coldboxgasado_coldboxpequena,2025-11-06 07:42:00,2025-11-06,2025-11-07,,24,2025-11-06 07:18:00,60,
148453,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-06 08:06:00,2025-11-04,2025-11-06,,24,2025-11-06 07:42:00,60,
146344,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-06 08:33:00,2025-11-05,2025-11-07,,27,2025-11-06 08:06:00,60,
146345,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-06 09:00:00,2025-11-05,2025-11-07,,27,2025-11-06 08:33:00,60,
146923,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-06 10:12:00,2025-11-06,2025-11-07,,27,2025-11-06 09:45:00,60,
148452,22.0,2906.0,coldboxgasado_coldboxpequena,2025-11-06 10:42:00,2025-11-04,2025-11-06,,30,2025-11-06 10:12:00,60,
148587,2.0,2516.0,coldboxgasado_coldboxpequena,2025-11-06 12:18:00,2025-11-05,2025-11-07,,96,2025-11-06 10:42:00,60,
147343,1.0,281.0,coldboxgasado_coldboxpequena,2025-11-06 15:24:00,2025-11-05,2025-11-07,,186,2025-11-06 12:18:00,60,
146784,1.0,2301.0,coldboxgasado_coldboxpequena,2025-11-06 20:21:00,2025-11-06,2025-11-07,,297,2025-11-06 15:24:00,60,
146996,3.0,115.0,coldboxgasado_coldboxpequena,2025-11-07 04:24:00,2025-11-07,2025-11-07,,24,2025-11-07 04:00:00,60,
147042,3.0,98.0,coldboxgasado_coldboxpequena,2025-11-07 04:48:00,2025-11-07,2025-11-07,,24,2025-11-07 04:24:00,60,
146609,23.0,2907.0,coldboxgasado_coldboxpequena,2025-11-07 05:15:00,2025-11-07,2025-11-07,,27,2025-11-07 04:48:00,60,
148587,1.0,2515.0,coldboxgasado_coldboxpequena,2025-11-07 06:51:00,2025-11-05,2025-11-07,,96,2025-11-07 05:15:00,60,
147398,1.0,2301.0,coldboxgasado_coldboxpequena,2025-11-07 11:48:00,2025-11-07,2025-11-07,,297,2025-11-07 06:51:00,60,
148487,2.0,2218.0,pepset_carrossel,2025-11-06 04:50:00,2025-11-04,2025-11-06,,50,2025-11-06 04:00:00,60,
148488,2.0,2218.0,pepset_carrossel,2025-11-06 05:40:00,2025-11-05,2025-11-07,,50,2025-11-06 04:50:00,60,
148489,2.0,2218.0,pepset_carrossel,2025-11-06 06:30:00,2025-11-06,2025-11-07,,50,2025-11-06 05:40:00,60,
148490,2.0,2218.0,pepset_carrossel,2025-11-06 07:20:00,2025-11-06,2025-11-07,,50,2025-11-06 06:30:00,60,
148494,2.0,2218.0,pepset_carrossel,2025-11-06 08:10:00,2025-11-04,2025-11-06,,50,2025-11-06 07:20:00,60,
148495,2.0,2218.0,pepset_carrossel,2025-11-06 09:00:00,2025-11-05,2025-11-07,,50,2025-11-06 08:10:00,60,
148496,2.0,2218.0,pepset_carrossel,2025-11-06 10:35:00,2025-11-06,2025-11-07,,50,2025-11-06 09:45:00,60,
148497,2.0,2218.0,pepset_carrossel,2025-11-06 11:25:00,2025-11-06,2025-11-07,,50,2025-11-06 10:35:00,60,
148487,3.0,2368.0,pepset_carrossel,2025-11-06 12:15:00,2025-11-04,2025-11-06,,50,2025-11-06 11:25:00,60,
148488,3.0,2368.0,pepset_carrossel,2025-11-06 13:05:00,2025-11-05,2025-11-07,,50,2025-11-06 12:15:00,60,
148489,3.0,2368.0,pepset_carrossel,2025-11-06 14:01:00,2025-11-06,2025-11-07,,56,2025-11-06 13:05:00,60,
148490,3.0,2368.0,pepset_carrossel,2025-11-06 14:51:00,2025-11-06,2025-11-07,,50,2025-11-06 14:01:00,60,
148494,4.0,2220.0,pepset_carrossel,2025-11-06 15:41:00,2025-11-04,2025-11-06,,50,2025-11-06 14:51:00,60,
148495,4.0,2220.0,pepset_carrossel,2025-11-06 16:31:00,2025-11-05,2025-11-07,,50,2025-11-06 15:41:00,60,
148496,4.0,2220.0,pepset_carrossel,2025-11-06 17:21:00,2025-11-06,2025-11-07,,50,2025-11-06 16:31:00,60,
148497,4.0,2220.0,pepset_carrossel,2025-11-06 18:56:00,2025-11-06,2025-11-07,,95,2025-11-06 17:21:00,60,
148445,1.0,2613.0,pepset_carrossel,2025-11-06 04:20:00,2025-11-03,2025-11-05,,20,2025-11-06 04:00:00,60,
147117,2.0,88.0,pepset_carrossel,2025-11-06 07:40:00,2025-11-03,2025-11-05,,200,2025-11-06 04:20:00,60,
147145,4.0,93.0,pepset_carrossel,2025-11-06 11:45:00,2025-11-03,2025-11-05,,245,2025-11-06 07:40:00,60,
147118,2.0,88.0,pepset_carrossel,2025-11-06 15:11:00,2025-11-06,2025-11-07,,206,2025-11-06 11:45:00,60,
148494,3.0,2219.0,pepset_carrossel,2025-11-06 04:50:00,2025-11-04,2025-11-06,,50,2025-11-06 04:00:00,60,
148495,3.0,2219.0,pepset_carrossel,2025-11-06 05:40:00,2025-11-05,2025-11-07,,50,2025-11-06 04:50:00,60,
148496,3.0,2219.0,pepset_carrossel,2025-11-06 06:30:00,2025-11-06,2025-11-07,,50,2025-11-06 05:40:00,60,
148497,3.0,2219.0,pepset_carrossel,2025-11-06 07:20:00,2025-11-06,2025-11-07,,50,2025-11-06 06:30:00,60,
148634,1.0,2503.0,pepset_carrossel,2025-11-06 10:45:00,2025-11-06,2025-11-07,,205,2025-11-06 07:20:00,60,
