_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,processo,tipoMaquina,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline,Data e Hora de Início,Data e Hora de Fim
144696,6/25/2025,6,4805,1,Cold Box GASADO,Cold Box 4,Silica,3.294,2,peça,1,1,8,8.00,8.00,8.00,2.50,20.00,6/24/2025,6/23/2025,,
144696,6/25/2025,6,4805,2,Cold Box GASADO,Cold Box 4,Silica,3.294,2,peça,1,1,8,7.00,9.00,9.00,2.50,23.00,6/24/2025,6/23/2025,,
144696,6/25/2025,6,4805,20,Cold Box SOPRADO,Gevitec,Silica,1.728,1.5,peça,3,1,8,0.00,12.00,4.00,1.42,6.00,6/24/2025,6/23/2025,,
144440,6/25/2025,7,4689,4,Cold Box SOPRADO,Gevitec,Silica,0.625,1,peça,4,1,8,0.00,8.00,2.00,1.42,3.00,6/24/2025,6/23/2025,,
144440,6/25/2025,7,4689,20,Cold Box SOPRADO,Gevitec,Silica,1.728,0.75,peça,3,1,8,0.00,6.00,2.00,1.42,3.00,6/24/2025,6/23/2025,,
144458,6/25/2025,9,4821,22,Cold Box GASADO,Cold Box Pequena,Silica,7.92,1,Molde,2,1,36,0.00,3.00,1.50,2.50,4.00,6/24/2025,6/23/2025,,
144755,6/25/2025,9,1793,22,Cold box GASADO,Cold Box Pequena,Silica,7.92,1,Molde,2,1,266,0.00,19.00,9.50,2.50,24.00,6/24/2025,6/23/2025,,
144437,6/25/2025,10,4690,1,Cold Box GASADO,Cold Box 4,Silica,21,1,peça,1,2,8,0.00,8.00,8.00,2.50,20.00,6/24/2025,6/23/2025,,
144442,6/25/2025,10,4689,1,Cold Box GASADO,Cold Box 4,Silica,21,1,peça,1,2,8,0.00,8.00,8.00,2.50,20.00,6/24/2025,6/23/2025,,
143976,6/25/2025,16,198,1,Cura Frio Chão,Pep Set 7t,Silica,27,1,peça,1,2,24,9.00,15.00,15.00,15.00,225.00,6/24/2025,6/23/2025,,
144441,6/26/2025,1,4690,1,Cold Box GASADO,Cold Box 4,Silica,21,1,peça,1,2,8,0.00,8.00,8.00,2.50,20.00,6/25/2025,6/24/2025,,
144443,6/26/2025,1,4689,1,Cold Box GASADO,Cold Box 4,Silica,21,1,peça,1,2,8,0.00,8.00,8.00,2.50,20.00,6/25/2025,6/24/2025,,
144697,6/26/2025,2,4805,5,Cura Frio vibrado,Pep Set 7t,Silica,76.5,1,peça,1,2,8,0.00,8.00,8.00,28.00,224.00,6/25/2025,6/24/2025,,
144808,6/26/2025,3,4755,1,Cura Frio Chão,Pep Set 7t,Silica,12.5,1,peça,1,2,20,0.00,20.00,20.00,15.00,300.00,6/25/2025,6/24/2025,,
144808,6/26/2025,3,4755,3,Cold Box SOPRADO,Gevitec,Silica,3.46,1,peça,4,1,20,0.00,20.00,5.00,1.42,7,6/25/2025,6/24/2025,,
144655,6/26/2025,4,5179,25,Cold Box GASADO,Cold Box Pequena,Silica,7.6,1,Molde,2,1,70,0.00,7.00,3.50,2.50,9.00,6/25/2025,6/24/2025,,
144656,6/26/2025,4,5180,25,Cold Box GASADO,Cold Box Pequena,Silica,7.6,1,Molde,2,1,70,0.00,7.00,3.50,2.50,9.00,6/25/2025,6/24/2025,,
144657,6/26/2025,4,5181,25,Cold Box GASADO,Cold Box Pequena,Silica,7.6,1,Molde,2,1,70,0.00,7.00,3.50,2.50,9.00,6/25/2025,6/24/2025,,
144658,6/26/2025,4,5178,25,Cold Box GASADO,Cold Box Pequena,Silica,7.6,1,Molde,2,1,140,0.00,7.00,3.50,2.50,9.00,6/25/2025,6/24/2025,,
144729,6/26/2025,4,4497,1,Cold Box GASADO,Cold Box Pequena,Silica areia nova,0.54,1,peça,1,2,48,0.00,48.00,48.00,2.50,120.00,6/25/2025,6/24/2025,,
144729,6/26/2025,4,4497,2,Cold Box GASADO,Cold Box Pequena,Silica areia nova,0.125,1,peça,4,2,48,0.00,48.00,12.00,2.50,30.00,6/25/2025,6/24/2025,,
144730,6/26/2025,4,4496,1,Cold Box GASADO,Cold Box Pequena,Silica areia nova,0.54,1,peça,1,2,56,0.00,56.00,56.00,2.50,140.00,6/25/2025,6/24/2025,,
144730,6/26/2025,4,4496,2,Cold Box GASADO,Cold Box Pequena,Silica areia nova,0.125,1,peça,4,2,56,0.00,56.00,14.00,2.50,35.00,6/25/2025,6/24/2025,,
144544,6/26/2025,6,151,1,Cold box GASADO,Cold Box Pequena,Silica,0.62,0.5,peça,2,2,224,0.00,112.00,56.00,2.50,140.00,6/25/2025,6/24/2025,,
144544,6/26/2025,6,151,2,Cold box GASADO,Cold Box Pequena,Silica,0.62,0.5,peça,2,2,224,0.00,112.00,56.00,2.50,140.00,6/25/2025,6/24/2025,,
143772,6/26/2025,7,2671,23,Cold box GASADO,Cold Box Pequena,Silica,10.4,1,Molde,2,1,252,0.00,18.00,9.00,2.50,23.00,6/25/2025,6/24/2025,,
144444,6/26/2025,8,4690,1,Cold Box GASADO,Cold Box 4,Silica,21,1,peça,1,2,8,0.00,8.00,8.00,2.50,20.00,6/25/2025,6/24/2025,,
