_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline
145609,7/28/2025,17,4054,7,Cold Box Soprado,Sopradora,Silica,1.36, 1.00 ,peça,4,1,12,0,12,3,1.42, 4 ,7/22/2025,7/24/2025
144515,7/28/2025,19,5173,30,Pep Set,Carrossel,Silica,,1,peça,1,1,4,0,4,4,1.25, 5 ,7/22/2025,7/24/2025
144606,7/29/2025,4,5173,30,Pep Set,Carrossel,Silica,,1,peça,1,1,4,0,4,4,1.25, 5 ,7/23/2025,7/25/2025
144972,7/29/2025,10,1782,25,Cold Box Gasado,Cold Box Pequena,Silica,7.6, 1.00 ,Molde,2,1,126,0,7,3.5,2.5, 9 ,7/23/2025,7/25/2025
145057,7/29/2025,11,1782,25,Cold Box Gasado,Cold Box Pequena,Silica,7.600 ,1,Molde,2,1,126,0,7,3.5,2.5, 9 ,7/23/2025,7/25/2025
138310,7/30/2025,4,4836,2,Cold Box Soprado,Sopradora,Silica,3.000 ,1,peça,2,2,40,0,40,20,1.42, 28 ,7/24/2025,7/28/2025
138310,7/30/2025,4,4836,3,Cold Box Soprado,Sopradora,Silica,1.3, 1.00 ,peça,2,2,40,0,40,20,1.42, 28 ,7/24/2025,7/28/2025
138325,7/30/2025,5,4835,2,Cold Box Soprado,Sopradora,Silica,3.200 ,1,peça,2,2,40,0,40,20,1.42, 28 ,7/24/2025,7/28/2025
138325,7/30/2025,5,4835,3,Cold Box Soprado,Sopradora,Silica,1.300 ,1,peça,2,2,40,0,40,20,1.42, 28 ,7/24/2025,7/28/2025
144977,7/30/2025,8,947,2,Pep Set,Carrossel,Silica,16.100 ,1,peça,1,2,20,10,10,10,1.25, 13 ,7/24/2025,7/28/2025
145058,7/30/2025,12,1782,25,Cold Box Gasado,Cold Box Pequena,Silica,7.6, 1.00 ,Molde,2,1,126,0,7,3.5,2.5, 9 ,7/24/2025,7/28/2025
146099,7/30/2025,14,1782,25,Cold Box Gasado,Cold Box Pequena,Silica,7.600 ,1,Molde,2,1,126,0,7,3.5,2.5, 9 ,7/24/2025,7/28/2025
145005,7/30/2025,15,4821,22,Cold Box Gasado,Cold Box Pequena,Silica,7.92, 1.00 ,Molde,2,1,84,0,7,3.5,2.5, 9 ,7/24/2025,7/28/2025
145423,7/30/2025,15,2671,23,Cold Box Gasado,Cold Box Pequena,Silica,10.400 ,1,Molde,2,1,84,0,6,3,2.5, 8 ,7/24/2025,7/28/2025
145975,7/30/2025,15,3166,22,Cold Box Gasado,Cold Box Pequena,Silica,7.920 ,1,Molde,2,1,48,0,2,1,2.5, 3 ,7/24/2025,7/28/2025
146100,7/30/2025,15,1782,25,Cold Box Gasado,Cold Box Pequena,Silica,7.6, 1.00 ,Molde,2,1,126,0,7,3.5,2.5, 9 ,7/24/2025,7/28/2025
145302,7/30/2025,17,4805,5,Pep Set,Vibrado,Silica,76.500 ,1,peça,1,2,8,3,5,5,28, 140 ,7/24/2025,7/28/2025
145354,7/31/2025,4,4690,1,Cold Box Gasado,Cold Box 4,Silica,21, 1.00 ,peça,1,2,8,0,8,8,2.5, 20 ,7/25/2025,7/29/2025
145370,7/31/2025,4,4689,1,Cold Box Gasado,Cold Box 4,Silica,21.000 ,1,peça,1,2,8,0,8,8,2.5, 20 ,7/25/2025,7/29/2025
