_kf_producao,dataFusao,ordenacao,_kf_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde), Tempo Total (minutos) , NOT BEFORE DATE , DEADLINE 
144515,7/29/2025,1,5173,30,2926,Pep Set,Carrossel,Silica,, 1.00 ,peça,1,1,4,0,4,4,1.25, 5 ,7/23/2025,7/25/2025
144606,7/29/2025,7,5173,30,2926,Pep Set,Carrossel,Silica,,1,peça,1,1,4,0,4,4,1.25, 5 ,7/23/2025,7/25/2025
146170,7/30/2025,17,5155,25,2921,Pep Set,Carrossel,Silica,4.800 ,1,Molde,2,1,36,0,2,1,1.25, 1 ,7/24/2025,7/28/2025
146177,7/31/2025,13,4479,1,2504,Cold Box Gasado,Cold Box Pequena,Silica areia nova,0.835 ,8,peça,2,2,2,0,16,8,2.5, 20 ,7/25/2025,7/29/2025
146099,7/31/2025,14,1782,25,2921,Cold Box Gasado,Cold Box Pequena,Silica,7.600 ,1,Molde,2,1,126,0,7,3.5,2.5, 9 ,7/25/2025,7/29/2025
145358,8/1/2025,6,4690,4,385,Cold Box Soprado,Sopradora,Silica,0.625 ,1,peça,4,1,8,0,8,2,1.42, 3 ,7/28/2025,7/30/2025
145358,8/1/2025,6,4690,20,2629,Cold Box Soprado,Sopradora,Silica,1.728 ,0.75,peça,3,1,8,0,6,2,1.42, 3 ,7/28/2025,7/30/2025
145374,8/1/2025,6,4689,4,386,Cold Box Soprado,Sopradora,Silica,0.625, 1.00 ,peça,4,1,8,0,8,2,1.42, 3 ,7/28/2025,7/30/2025
145374,8/1/2025,6,4689,20,2629,Cold Box Soprado,Sopradora,Silica,1.728, 0.75 ,peça,3,1,8,0,6,2,1.42, 3 ,7/28/2025,7/30/2025
145613,8/1/2025,8,4054,6,840,Cold Box Soprado,Sopradora,Silica,1.560 ,1,peça,4,1,12,0,12,3,1.42, 4 ,7/28/2025,7/30/2025
145613,8/1/2025,8,4054,7,834,Cold Box Soprado,Sopradora,Silica,1.36, 1.00 ,peça,4,1,12,0,12,3,1.42, 4 ,7/28/2025,7/30/2025
145408,8/1/2025,9,5040,23,2907,Cold Box Gasado,Cold Box Pequena,Silica,10.400 ,1,Molde,2,1,160,0,16,8,2.5, 20 ,7/28/2025,7/30/2025
145429,8/1/2025,9,553,1,1197,Cold Box Gasado,Cold Box Pequena,Silica,0.200 ,2,peça,2,1,10,10,10,5,2.5, 13 ,7/28/2025,7/30/2025
144195,8/1/2025,10,5155,25,2921,Pep Set,Carrossel,Silica,4.8, 1.00 ,Molde,2,1,216,0,12,6,1.25, 8 ,7/28/2025,7/30/2025
146101,8/1/2025,10,1782,25,2921,Cold Box Gasado,Cold Box Pequena,Silica,7.6, 1.00 ,Molde,2,1,126,0,7,3.5,2.5, 9 ,7/28/2025,7/30/2025
145359,8/1/2025,11,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3.025 ,1,peça,1,1,8,0,8,8,2.5, 20 ,7/28/2025,7/30/2025
145359,8/1/2025,11,4690,4,385,Cold Box Soprado,Sopradora,Silica,0.625 ,1,peça,4,1,8,0,8,2,1.42, 3 ,7/28/2025,7/30/2025
145359,8/1/2025,11,4690,20,2629,Cold Box Soprado,Sopradora,Silica,1.728 ,0.75,peça,3,1,8,0,6,2,1.42, 3 ,7/28/2025,7/30/2025
145375,8/1/2025,11,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,21.000 ,1,peça,1,2,8,0,8,8,2.5, 20 ,7/28/2025,7/30/2025
145375,8/1/2025,11,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3.025, 1.00 ,peça,1,1,8,0,8,8,2.5, 20 ,7/28/2025,7/30/2025
145375,8/1/2025,11,4689,4,386,Cold Box Soprado,Sopradora,Silica,0.625 ,1,peça,4,1,8,0,8,2,1.42, 3 ,7/28/2025,7/30/2025
145375,8/1/2025,11,4689,20,2629,Cold Box Soprado,Sopradora,Silica,1.728, 0.75 ,peça,3,1,8,0,6,2,1.42, 3 ,7/28/2025,7/30/2025
145305,8/1/2025,12,4805,20,2629,Cold Box Soprado,Sopradora,Silica,1.728 ,1.5,peça,3,1,8,0,12,4,1.42, 6 ,7/28/2025,7/30/2025
145306,8/1/2025,13,4805,20,2629,Cold Box Soprado,Sopradora,Silica,1.728 ,1.5,peça,3,1,8,0,12,4,1.42, 6 ,7/28/2025,7/30/2025
145605,8/1/2025,18,4073,6,840,Cold Box Soprado,Sopradora,Silica,1.56, 1.00 ,peça,4,1,12,0,12,3,1.42, 4 ,7/28/2025,7/30/2025
145605,8/1/2025,18,4073,7,841,Cold Box Soprado,Sopradora,Silica,1.360 ,1,peça,4,1,12,0,12,3,1.42, 4 ,7/28/2025,7/30/2025
145435,8/4/2025,3,4755,2,117,Cold Box Soprado,Sopradora,Silica,6.400 ,1,peça,2,1,20,0,20,10,1.42, 14 ,7/29/2025,7/31/2025
145435,8/4/2025,3,4755,3,2514,Cold Box Soprado,Sopradora,Silica,3.460 ,1,peça,4,1,20,0,20,5,1.42, 7 ,7/29/2025,7/31/2025
144276,8/4/2025,6,4836,1,2715,Cold Box Soprado,Sopradora,Silica,3.6, 1.00 ,peça,4,2,40,0,40,10,1.42, 14 ,7/29/2025,7/31/2025
144276,8/4/2025,6,4836,2,2708,Cold Box Soprado,Sopradora,Silica,3, 1.00 ,peça,2,2,40,0,40,20,1.42, 28 ,7/29/2025,7/31/2025
144276,8/4/2025,6,4836,3,2709,Cold Box Soprado,Sopradora,Silica,1.300 ,1,peça,2,2,40,0,40,20,1.42, 28 ,7/29/2025,7/31/2025
145307,8/4/2025,7,4805,20,2629,Cold Box Soprado,Sopradora,Silica,1.728 ,1.5,peça,3,1,8,0,12,4,1.42, 6 ,7/29/2025,7/31/2025
145627,8/4/2025,8,4758,1,2667,Pep Set,Carrossel,Silica,24, 1.00 ,peça,1,1,14,0,14,14,1.25, 18 ,7/29/2025,7/31/2025
145627,8/4/2025,8,4758,2,2668,Pep Set,Carrossel,Silica,31.500 ,1,peça,1,1,14,0,14,14,1.25, 18 ,7/29/2025,7/31/2025
