_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline
132718,8/18/2025,4,4668,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  0,75 ",peça,3,1,40,0,30,  10 ,  1 ,  14 ,8/12/2025,8/14/2025
132718,8/18/2025,4,4668,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,40,0,  1 ,  1 ,  1 ,  1 ,8/12/2025,8/14/2025
145391,8/18/2025,13,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,21,"  1,00 ",peça,1,1,8,0,8,  8 ,  3 ,  20 ,8/12/2025,8/14/2025
145584,8/18/2025,20,3345,1,1948,Pep Set,Vibrado,Silica,  106 ,  1 ,peça,1,1,6,0,  6 ,  6 ,  28 ,  168 ,8/12/2025,8/14/2025
145702,8/19/2025,1,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,2,  6 ,  6 ,  28 ,  168 ,8/13/2025,8/15/2025
145812,8/19/2025,2,4758,7,2673,Pep Set,Carrossel,Silica,4,"  1,00 ",peça,1,1,14,11,3,  3 ,  1 ,  4 ,8/13/2025,8/15/2025
145736,8/19/2025,6,3072,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,56,0,  1 ,  1 ,  1 ,  1 ,8/13/2025,8/15/2025
146076,8/19/2025,11,4292,30,2926,Pep Set,Carrossel,Silica,,  1 ,Lote,1,1,72,0,  1 ,  1 ,  1 ,  1 ,8/13/2025,8/15/2025
146108,8/19/2025,14,3963,23,2907,Cold Box Gasado,Cold Box Pequena,Silica,  10 ,  1 ,Molde,2,1,24,0,  1 ,  1 ,  3 ,  1 ,8/13/2025,8/15/2025
146165,8/19/2025,14,604,24,2908,Cold Box Gasado,Cold Box Pequena,Silica,  10 ,  1 ,Molde,2,1,168,8,  6 ,  3 ,  3 ,  8 ,8/13/2025,8/15/2025
145703,8/19/2025,15,4805,3,2692,Cold Box Soprado,Sopradora,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  6 ,8/13/2025,8/15/2025
145703,8/19/2025,15,4805,4,2693,Cold Box Soprado,Sopradora,Silica,  1 ,  4 ,peça,4,1,8,0,  32 ,  8 ,  1 ,  11 ,8/13/2025,8/15/2025
145703,8/19/2025,15,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/13/2025,8/15/2025
145703,8/19/2025,15,4805,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  1,50 ",peça,3,1,8,0,12,  4 ,  1 ,  6 ,8/13/2025,8/15/2025
145749,8/19/2025,16,947,1,87,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145749,8/19/2025,16,947,2,88,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,6,  14 ,  14 ,  1 ,  18 ,8/13/2025,8/15/2025
145755,8/19/2025,18,945,1,90,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145755,8/19/2025,18,945,2,91,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145755,8/19/2025,18,945,3,92,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145755,8/19/2025,18,945,4,93,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/13/2025,8/15/2025
145277,8/19/2025,20,944,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,16,0,  24 ,  8 ,  1 ,  11 ,8/13/2025,8/15/2025
145548,8/19/2025,21,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/13/2025,8/15/2025
145551,8/19/2025,21,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,21,"  1,00 ",peça,1,1,8,0,8,  8 ,  3 ,  20 ,8/13/2025,8/15/2025
145704,8/20/2025,1,4805,5,2694,Pep Set,Vibrado,Silica,"76,5","  1,00 ",peça,1,2,8,0,8,  8 ,  28 ,  224 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,6,2695,Pep Set,Carrossel,Silica,"8,47","  1,00 ",peça,1,1,8,0,8,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145704,8/20/2025,1,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/14/2025,8/18/2025
145620,8/20/2025,2,4755,1,116,Pep Set,Chão,Silica,  13 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  15 ,  300 ,8/14/2025,8/18/2025
145620,8/20/2025,2,4755,3,2514,Cold Box Soprado,Sopradora,Silica,"3,46","  1,00 ",peça,4,1,20,0,20,  5 ,  1 ,  7 ,8/14/2025,8/18/2025
146013,8/19/2025,3,4576,1,2552,Pep Set,Chão,Cromita,  13 ,  1 ,peça,1,1,28,1,  27 ,  27 ,  15 ,  405 ,8/18/2025,8/18/2025
145705,8/20/2025,7,4805,5,2694,Pep Set,Vibrado,Silica,  77 ,  1 ,peça,1,2,8,0,  8 ,  8 ,  28 ,  224 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,6,2695,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,7,2696,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,8,2697,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,9,2698,Pep Set,Carrossel,Silica,  8 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/14/2025,8/18/2025
145705,8/20/2025,7,4805,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  2 ,peça,3,1,8,0,  12 ,  4 ,  1 ,  6 ,8/14/2025,8/18/2025
146077,8/20/2025,9,4292,1,1755,Cold Box Soprado,Sopradora,Silica,12,"  1,00 ",peça,1,1,72,0,72,  72 ,  1 ,  102 ,8/14/2025,8/18/2025
146077,8/20/2025,9,4292,30,2926,Pep Set,Carrossel,Silica,,"  1,00 ",Lote,1,1,72,0,1,  1 ,  1 ,  1 ,8/14/2025,8/18/2025
145750,8/20/2025,10,947,1,87,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
145750,8/20/2025,10,947,2,88,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/14/2025,8/18/2025
