_kf_producao,dataFusao,ordenacao,_kf_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde), Tempo Total (minutos) , NOT BEFORE DATE , DEADLINE 
146228,8/21/2025,20,604,24,2908,Cold Box Gasado,Cold Box Pequena,Silica,9.58, 1.00 ,Molde,2,1,180,0,15, 8 , 3 , 19 ,8/15/2025,8/19/2025
144271,8/25/2025,10,4835,1,2707,Cold Box Soprado,Sopradora,Silica,3.6, 1.00 ,peça,4,2,40,0,40, 10 , 1 , 14 ,8/19/2025,8/21/2025
145655,8/25/2025,16,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica, 3 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/19/2025,8/21/2025
145794,8/26/2025,1,4621,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 3 ,peça,3,1,6,0, 18 , 6 , 1 , 9 ,8/20/2025,8/22/2025
144508,8/26/2025,2,4859,2,2736,Cold Box Soprado,Sopradora,Silica, 0 , 1 ,peça,9,1,70,0, 70 , 8 , 1 , 11 ,8/20/2025,8/22/2025
145637,8/26/2025,4,4689,4,386,Cold Box Soprado,Sopradora,Silica, 1 , 1 ,peça,4,1,8,0, 8 , 2 , 1 , 3 ,8/20/2025,8/22/2025
145656,8/26/2025,4,4690,4,385,Cold Box Soprado,Sopradora,Silica, 1 , 1 ,peça,4,1,8,0, 8 , 2 , 1 , 3 ,8/20/2025,8/22/2025
145254,8/26/2025,8,946,20,2629,Cold Box Soprado,Sopradora,Silica,1.728, 1.50 ,peça,3,1,16,0,24, 8 , 1 , 11 ,8/20/2025,8/22/2025
145795,8/26/2025,11,4621,4,2565,Pep Set,Vibrado,Silica, 68 , 1 ,peça,1,1,6,4, 2 , 2 , 28 , 56 ,8/20/2025,8/22/2025
145795,8/26/2025,11,4621,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 3 ,peça,3,1,6,0, 18 , 6 , 1 , 9 ,8/20/2025,8/22/2025
145814,8/26/2025,13,4758,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 2 ,peça,3,1,14,0, 21 , 7 , 1 , 10 ,8/20/2025,8/22/2025
145638,8/26/2025,14,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,21, 1.00 ,peça,1,1,8,0,8, 8 , 3 , 20 ,8/20/2025,8/22/2025
145638,8/26/2025,14,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica, 3 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/20/2025,8/22/2025
145638,8/26/2025,14,4689,4,386,Cold Box Soprado,Sopradora,Silica,0.625, 1.00 ,peça,4,1,8,0,8, 2 , 1 , 3 ,8/20/2025,8/22/2025
145657,8/26/2025,14,4690,1,113,Cold Box Gasado,Cold Box 4,Silica, 21 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/20/2025,8/22/2025
145657,8/26/2025,14,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3.025, 1.00 ,peça,1,1,8,7,1, 1 , 3 , 3 ,8/20/2025,8/22/2025
145657,8/26/2025,14,4690,4,385,Cold Box Soprado,Sopradora,Silica,0.625, 1.00 ,peça,4,1,8,0,8, 2 , 1 , 3 ,8/20/2025,8/22/2025
145710,8/26/2025,15,4805,3,2692,Cold Box Soprado,Sopradora,Silica,3, 1.00 ,peça,2,1,8,0,8, 4 , 1 , 6 ,8/20/2025,8/22/2025
145710,8/26/2025,15,4805,4,2693,Cold Box Soprado,Sopradora,Silica, 1 , 4 ,peça,4,1,8,0, 32 , 8 , 1 , 11 ,8/20/2025,8/22/2025
145710,8/26/2025,15,4805,5,2694,Pep Set,Vibrado,Silica, 77 , 1 ,peça,1,2,8,0, 8 , 8 , 28 , 224 ,8/20/2025,8/22/2025
145456,8/26/2025,16,4836,1,2715,Cold Box Soprado,Sopradora,Silica, 4 , 1 ,peça,4,2,40,0, 40 , 10 , 1 , 14 ,8/20/2025,8/22/2025
145784,8/26/2025,17,4073,2,836,Pep Set,Carrossel,Silica,27, 1.00 ,peça,1,1,12,8,4, 4 , 1 , 5 ,8/20/2025,8/22/2025
145784,8/26/2025,17,4073,7,841,Cold Box Soprado,Sopradora,Silica,1.36, 1.00 ,peça,4,1,12,0,12, 3 , 1 , 4 ,8/20/2025,8/22/2025
146248,8/26/2025,18,5147,1,2857,Pep Set,Carrossel,Silica, 29 , 1 ,peça,1,1,36,0, 36 , 36 , 1 , 45 ,8/20/2025,8/22/2025
146248,8/26/2025,18,5147,2,2858,Pep Set,Carrossel,Silica, 2 , 1 ,peça,1,1,36,0, 36 , 36 , 1 , 45 ,8/20/2025,8/22/2025
145639,8/26/2025,19,4689,1,113,Cold Box Gasado,Cold Box 4,Silica, 21 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/20/2025,8/22/2025
145639,8/26/2025,19,4689,4,386,Cold Box Soprado,Sopradora,Silica, 1 , 1 ,peça,4,1,8,0, 8 , 2 , 1 , 3 ,8/20/2025,8/22/2025
145639,8/26/2025,19,4689,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,3,1,8,0, 6 , 2 , 1 , 3 ,8/20/2025,8/22/2025
145658,8/26/2025,19,4690,1,113,Cold Box Gasado,Cold Box 4,Silica, 21 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/20/2025,8/22/2025
145658,8/26/2025,19,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica, 3 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/20/2025,8/22/2025
145658,8/26/2025,19,4690,4,385,Cold Box Soprado,Sopradora,Silica,0.625, 1.00 ,peça,4,1,8,0,8, 2 , 1 , 3 ,8/20/2025,8/22/2025
145658,8/26/2025,19,4690,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,3,1,8,0, 6 , 2 , 1 , 3 ,8/20/2025,8/22/2025
145695,8/26/2025,20,4827,1,2710,Pep Set,Carrossel,Silica, 29 , 1 ,peça,1,1,28,13, 15 , 15 , 1 , 19 ,8/20/2025,8/22/2025
145537,8/26/2025,22,151,30,2926,Pep Set,Carrossel,Silica,, 1 ,Lote,1,1,320,0, 1 , 1 , 1 , 1 ,8/20/2025,8/22/2025
144877,8/27/2025,1,4759,1,2675,Pep Set,Carrossel,Silica, 30 , 1 ,peça,1,1,6,0, 6 , 6 , 1 , 8 ,8/21/2025,8/25/2025
144877,8/27/2025,1,4759,2,2676,Pep Set,Carrossel,Silica,29, 1.00 ,peça,1,1,6,0,6, 6 , 1 , 8 ,8/21/2025,8/25/2025
144877,8/27/2025,1,4759,3,2677,Pep Set,Carrossel,Silica, 24 , 1 ,peça,1,1,6,0, 6 , 6 , 1 , 8 ,8/21/2025,8/25/2025
144877,8/27/2025,1,4759,4,2678,Pep Set,Carrossel,Silica, 14 , 1 ,peça,1,1,6,0, 6 , 6 , 1 , 8 ,8/21/2025,8/25/2025
144877,8/27/2025,1,4759,5,2679,Pep Set,Carrossel,Silica, 15 , 1 ,peça,1,1,6,0, 6 , 6 , 1 , 8 ,8/21/2025,8/25/2025
144877,8/27/2025,1,4759,6,2680,Pep Set,Carrossel,Silica,12.5, 1.00 ,peça,1,1,6,0,6, 6 , 1 , 8 ,8/21/2025,8/25/2025
144877,8/27/2025,1,4759,7,2681,Pep Set,Carrossel,Silica, 13 , 1 ,peça,1,1,6,0, 6 , 6 , 1 , 8 ,8/21/2025,8/25/2025
144877,8/27/2025,1,4759,8,2682,Pep Set,Carrossel,Silica, 11 , 1 ,peça,1,1,6,3, 3 , 3 , 1 , 4 ,8/21/2025,8/25/2025
145640,8/27/2025,2,4689,1,113,Cold Box Gasado,Cold Box 4,Silica, 21 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/21/2025,8/25/2025
145640,8/27/2025,2,4689,2,114,Pep Set,Carrossel,Silica, 3 , 1 ,peça,2,1,8,0, 8 , 4 , 1 , 5 ,8/21/2025,8/25/2025
145640,8/27/2025,2,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica, 3 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/21/2025,8/25/2025
145640,8/27/2025,2,4689,4,386,Cold Box Soprado,Sopradora,Silica, 1 , 1 ,peça,4,1,8,0, 8 , 2 , 1 , 3 ,8/21/2025,8/25/2025
145640,8/27/2025,2,4689,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,3,1,8,0, 6 , 2 , 1 , 3 ,8/21/2025,8/25/2025
145659,8/27/2025,2,4690,1,113,Cold Box Gasado,Cold Box 4,Silica, 21 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/21/2025,8/25/2025
145659,8/27/2025,2,4690,2,114,Pep Set,Carrossel,Silica, 3 , 1 ,peça,2,1,8,0, 8 , 4 , 1 , 5 ,8/21/2025,8/25/2025
145659,8/27/2025,2,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica,3.025, 1.00 ,peça,1,1,8,0,8, 8 , 3 , 20 ,8/21/2025,8/25/2025
145659,8/27/2025,2,4690,4,385,Cold Box Soprado,Sopradora,Silica,0.625, 1.00 ,peça,4,1,8,0,8, 2 , 1 , 3 ,8/21/2025,8/25/2025
145659,8/27/2025,2,4690,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,3,1,8,0, 6 , 2 , 1 , 3 ,8/21/2025,8/25/2025
145711,8/27/2025,3,4805,3,2692,Cold Box Soprado,Sopradora,Silica, 3 , 1 ,peça,2,1,8,0, 8 , 4 , 1 , 6 ,8/21/2025,8/25/2025
145711,8/27/2025,3,4805,4,2693,Cold Box Soprado,Sopradora,Silica, 1 , 4 ,peça,4,1,8,0, 32 , 8 , 1 , 11 ,8/21/2025,8/25/2025
145711,8/27/2025,3,4805,5,2694,Pep Set,Vibrado,Silica, 77 , 1 ,peça,1,2,8,0, 8 , 8 , 28 , 224 ,8/21/2025,8/25/2025
145711,8/27/2025,3,4805,8,2697,Pep Set,Carrossel,Silica, 8 , 1 ,peça,1,1,8,7, 1 , 1 , 1 , 1 ,8/21/2025,8/25/2025
145738,8/27/2025,4,4755,1,116,Pep Set,Chão,Silica, 13 , 1 ,peça,1,2,20,9, 11 , 11 , 15 , 165 ,8/21/2025,8/25/2025
144937,8/27/2025,6,152,30,2926,Pep Set,Carrossel,Silica,, 1 ,Lote,1,1,120,0, 1 , 1 , 1 , 1 ,8/21/2025,8/25/2025
146226,8/27/2025,6,4741,30,2926,Pep Set,Carrossel,Silica,, 1 ,Lote,1,1,6,0, 1 , 1 , 1 , 1 ,8/21/2025,8/25/2025
145759,8/27/2025,7,945,1,90,Pep Set,Carrossel,Silica, 22 , 1 ,peça,1,2,20,14, 6 , 6 , 1 , 8 ,8/21/2025,8/25/2025
145759,8/27/2025,7,945,3,92,Pep Set,Carrossel,Silica, 9 , 1 ,peça,1,2,20,19, 1 , 1 , 1 , 1 ,8/21/2025,8/25/2025
145255,8/27/2025,8,946,6,840,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,4,1,16,0, 16 , 4 , 1 , 6 ,8/21/2025,8/25/2025
145712,8/27/2025,10,4805,3,2692,Cold Box Soprado,Sopradora,Silica, 3 , 1 ,peça,2,1,8,0, 8 , 4 , 1 , 6 ,8/21/2025,8/25/2025
145712,8/27/2025,10,4805,4,2693,Cold Box Soprado,Sopradora,Silica, 1 , 4 ,peça,4,1,8,0, 32 , 8 , 1 , 11 ,8/21/2025,8/25/2025
145712,8/27/2025,10,4805,5,2694,Pep Set,Vibrado,Silica, 77 , 1 ,peça,1,2,8,0, 8 , 8 , 28 , 224 ,8/21/2025,8/25/2025
145712,8/27/2025,10,4805,20,2629,Cold Box Soprado,Sopradora,Silica,1.728, 1.50 ,peça,3,1,8,0,12, 4 , 1 , 6 ,8/21/2025,8/25/2025
145641,8/27/2025,11,4689,1,113,Cold Box Gasado,Cold Box 4,Silica, 21 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/21/2025,8/25/2025
145641,8/27/2025,11,4689,2,114,Pep Set,Carrossel,Silica, 3 , 1 ,peça,2,1,8,0, 8 , 4 , 1 , 5 ,8/21/2025,8/25/2025
145641,8/27/2025,11,4689,3,115,Cold Box Gasado,Cold Box Pequena,Silica,3.025, 1.00 ,peça,1,1,8,0,8, 8 , 3 , 20 ,8/21/2025,8/25/2025
145641,8/27/2025,11,4689,4,386,Cold Box Soprado,Sopradora,Silica, 1 , 1 ,peça,4,1,8,0, 8 , 2 , 1 , 3 ,8/21/2025,8/25/2025
145641,8/27/2025,11,4689,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,3,1,8,0, 6 , 2 , 1 , 3 ,8/21/2025,8/25/2025
145660,8/27/2025,11,4690,1,113,Cold Box Gasado,Cold Box 4,Silica, 21 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/21/2025,8/25/2025
145660,8/27/2025,11,4690,2,114,Pep Set,Carrossel,Silica, 3 , 1 ,peça,2,1,8,0, 8 , 4 , 1 , 5 ,8/21/2025,8/25/2025
145660,8/27/2025,11,4690,3,98,Cold Box Gasado,Cold Box Pequena,Silica, 3 , 1 ,peça,1,1,8,0, 8 , 8 , 3 , 20 ,8/21/2025,8/25/2025
145660,8/27/2025,11,4690,4,385,Cold Box Soprado,Sopradora,Silica,0.625, 1.00 ,peça,4,1,8,0,8, 2 , 1 , 3 ,8/21/2025,8/25/2025
145660,8/27/2025,11,4690,20,2629,Cold Box Soprado,Sopradora,Silica, 2 , 1 ,peça,3,1,8,0, 6 , 2 , 1 , 3 ,8/21/2025,8/25/2025
145281,8/27/2025,12,944,1,99,Pep Set,Carrossel,Silica,9.1, 1.00 ,peça,1,1,16,13,3, 3 , 1 , 4 ,8/21/2025,8/25/2025
