job_id,op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
23,145797,4,4621,2565,pepset_vibrado,2025-09-15 04:00:00,2025-09-15 06:48:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,168.0
118,146118,5,4805,2694,pepset_vibrado,2025-09-15 06:55:00,2025-09-15 11:31:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,276.0
187,146233,5,4805,2694,pepset_vibrado,2025-09-15 11:31:00,2025-09-15 15:21:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,230.0
190,146234,5,4805,2694,pepset_vibrado,2025-09-15 15:21:00,2025-09-15 19:57:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,276.0
28,145798,4,4621,2565,pepset_vibrado,2025-09-16 04:00:00,2025-09-16 06:48:00,2025-09-15,2025-09-17,A,0,0,2025-09-16,0,168.0
194,146235,5,4805,2694,pepset_vibrado,2025-09-16 06:55:00,2025-09-16 11:24:00,2025-09-15,2025-09-16,A,0,0,2025-09-16,0,269.0
197,146236,5,4805,2694,pepset_vibrado,2025-09-16 11:24:00,2025-09-16 15:14:00,2025-09-15,2025-09-16,A,0,0,2025-09-16,0,230.0
218,146252,5,4805,2694,pepset_vibrado,2025-09-16 15:14:00,2025-09-16 19:50:00,2025-09-15,2025-09-17,A,0,0,2025-09-16,0,276.0
202,146237,5,4805,2694,pepset_vibrado,2025-09-17 04:00:00,2025-09-17 07:44:00,2025-09-15,2025-09-17,A,0,0,2025-09-17,0,224.0
238,146254,5,4805,2694,pepset_vibrado,2025-09-17 07:44:00,2025-09-17 12:13:00,2025-09-15,2025-09-18,A,0,0,2025-09-17,0,269.0
248,146255,5,4805,2694,pepset_vibrado,2025-09-17 12:13:00,2025-09-17 16:03:00,2025-09-16,2025-09-19,A,0,0,2025-09-17,0,230.0
258,146256,5,4805,2694,pepset_vibrado,2025-09-17 16:03:00,2025-09-17 20:39:00,2025-09-16,2025-09-19,A,0,0,2025-09-17,0,276.0
228,146253,5,4805,2694,pepset_vibrado,2025-09-18 04:00:00,2025-09-18 07:51:00,2025-09-15,2025-09-18,A,0,0,2025-09-18,0,231.0
16,145744,3,4755,2514,coldboxsoprado_sopradora,2025-09-15 04:00:00,2025-09-15 04:05:00,2025-09-15,2025-09-15,B,0,1,2025-09-15,0,5.0
279,146504,1,4292,1755,coldboxsoprado_sopradora,2025-09-15 04:15:00,2025-09-15 05:37:00,2025-09-15,2025-09-15,B,0,1,2025-09-15,0,82.0
33,145852,4,4689,386,coldboxsoprado_sopradora,2025-09-15 06:07:00,2025-09-15 06:09:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,2.0
90,145896,4,4690,385,coldboxsoprado_sopradora,2025-09-15 06:09:00,2025-09-15 06:11:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,2.0
106,146088,4,4690,385,coldboxsoprado_sopradora,2025-09-15 06:11:00,2025-09-15 06:13:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,2.0
34,145852,20,4689,2629,coldboxsoprado_sopradora,2025-09-15 06:23:00,2025-09-15 06:25:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,2.0
91,145896,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 06:25:00,2025-09-15 06:27:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,2.0
107,146088,20,4690,2629,coldboxsoprado_sopradora,2025-09-15 06:27:00,2025-09-15 06:29:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,2.0
339,146869,20,4970,2629,coldboxsoprado_sopradora,2025-09-15 06:29:00,2025-09-15 06:31:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,2.0
343,146870,20,4971,2629,coldboxsoprado_sopradora,2025-09-15 06:31:00,2025-09-15 06:33:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,2.0
24,145797,20,4621,2629,coldboxsoprado_sopradora,2025-09-15 06:33:00,2025-09-15 06:39:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,6.0
110,146115,3,4805,2692,coldboxsoprado_sopradora,2025-09-15 06:49:00,2025-09-15 06:53:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,4.0
112,146116,3,4805,2692,coldboxsoprado_sopradora,2025-09-15 06:53:00,2025-09-15 06:57:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,4.0
114,146117,3,4805,2692,coldboxsoprado_sopradora,2025-09-15 06:57:00,2025-09-15 07:01:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,4.0
116,146118,3,4805,2692,coldboxsoprado_sopradora,2025-09-15 07:01:00,2025-09-15 07:05:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,4.0
