job_id,op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
28,145798,4,4621,2565,pepset_vibrado,2025-09-15 00:00:00,2025-09-15 02:55:00,2025-09-15,2025-09-17,A,0,0,2025-09-16,0,175.0
23,145797,4,4621,2565,pepset_vibrado,2025-09-15 02:55:00,2025-09-15 05:50:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,0,175.0
187,146233,5,4805,2694,pepset_vibrado,2025-09-15 05:50:00,2025-09-15 09:41:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,231.0
190,146234,5,4805,2694,pepset_vibrado,2025-09-15 09:41:00,2025-09-15 13:32:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,231.0
194,146235,5,4805,2694,pepset_vibrado,2025-09-15 13:32:00,2025-09-15 17:23:00,2025-09-15,2025-09-16,A,0,0,2025-09-16,0,231.0
197,146236,5,4805,2694,pepset_vibrado,2025-09-15 17:23:00,2025-09-15 21:14:00,2025-09-15,2025-09-16,A,0,0,2025-09-16,0,231.0
202,146237,5,4805,2694,pepset_vibrado,2025-09-15 21:14:00,2025-09-16 01:05:00,2025-09-15,2025-09-17,A,0,0,2025-09-17,0,231.0
218,146252,5,4805,2694,pepset_vibrado,2025-09-16 01:05:00,2025-09-16 04:56:00,2025-09-15,2025-09-17,A,0,0,2025-09-16,0,231.0
228,146253,5,4805,2694,pepset_vibrado,2025-09-16 04:56:00,2025-09-16 08:47:00,2025-09-15,2025-09-18,A,0,0,2025-09-18,0,231.0
238,146254,5,4805,2694,pepset_vibrado,2025-09-16 08:47:00,2025-09-16 12:38:00,2025-09-15,2025-09-18,A,0,0,2025-09-17,0,231.0
248,146255,5,4805,2694,pepset_vibrado,2025-09-16 12:38:00,2025-09-16 16:29:00,2025-09-16,2025-09-19,A,0,0,2025-09-17,0,231.0
258,146256,5,4805,2694,pepset_vibrado,2025-09-16 16:29:00,2025-09-16 20:20:00,2025-09-16,2025-09-19,A,0,0,2025-09-17,0,231.0
118,146118,5,4805,2694,pepset_vibrado,2025-09-16 20:20:00,2025-09-17 00:11:00,2025-09-15,2025-09-15,A,0,1,2025-09-15,2,231.0
35,145853,4,4689,386,coldboxsoprado_sopradora,2025-09-15 00:00:00,2025-09-15 00:12:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
38,145854,4,4689,386,coldboxsoprado_sopradora,2025-09-15 00:12:00,2025-09-15 00:24:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
41,145855,4,4689,386,coldboxsoprado_sopradora,2025-09-15 00:24:00,2025-09-15 00:36:00,2025-09-15,2025-09-15,A,0,0,2025-09-15,0,12.0
44,145856,4,4689,386,coldboxsoprado_sopradora,2025-09-15 00:36:00,2025-09-15 00:48:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,12.0
47,145857,4,4689,386,coldboxsoprado_sopradora,2025-09-15 00:48:00,2025-09-15 01:00:00,2025-09-15,2025-09-16,A,0,0,2025-09-15,0,12.0
