OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id,Status_Processed
145264,1.0,2919.0,pepset_carrossel,2025-09-16 06:40:00,2025-09-16,2025-09-19,,160.0,2025-09-16 04:00:00,10,
145291,1.0,2920.0,pepset_carrossel,2025-09-15 06:40:00,2025-09-15,2025-09-18,,160.0,2025-09-15 04:00:00,10,
145264,6.0,840.0,coldboxsoprado_sopradora,2025-09-16 00:15:00,2025-09-16,2025-09-20,A,14.0,2025-09-16 00:00:00,10,
145264,7.0,834.0,coldboxsoprado_sopradora,2025-09-16 00:30:00,2025-09-16,2025-09-20,A,14.0,2025-09-16 00:15:00,10,
145264,20.0,2629.0,coldboxsoprado_sopradora,2025-09-16 00:50:00,2025-09-16,2025-09-20,A,18.0,2025-09-16 00:30:00,10,
145291,6.0,840.0,coldboxsoprado_sopradora,2025-09-15 00:15:00,2025-09-15,2025-09-19,A,14.0,2025-09-15 00:00:00,10,
145291,7.0,841.0,coldboxsoprado_sopradora,2025-09-15 00:30:00,2025-09-15,2025-09-19,A,14.0,2025-09-15 00:15:00,10,
145291,20.0,2629.0,coldboxsoprado_sopradora,2025-09-15 00:50:00,2025-09-15,2025-09-19,A,18.0,2025-09-15 00:30:00,10,
145451,1.0,2879.0,coldboxgasado_coldbox4,2025-09-15 01:40:00,2025-09-15,2025-09-17,,96.0,2025-09-15 00:00:00,10,
145586,1.0,679.0,coldboxgasado_coldboxpequena,2025-09-15 00:20:00,2025-09-15,2025-09-17,,18.0,2025-09-15 00:00:00,10,
