op,caixa,kp,_kf_macho,maquina,inicio,fim,not_before_date,deadline,config,sub_machine,has_lateness,dia,delay,tempo_processamento_minutos_total
146242,3,4755,2514,coldboxsoprado_sopradora,2025-09-25 04:00:00,2025-09-25 04:15:00,2025-09-25,2025-09-26,B,0,1,2025-09-25,0,15.0
145867,20,4689,2629,coldboxsoprado_sopradora,2025-09-25 04:45:00,2025-09-25 04:47:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
146218,20,4690,2629,coldboxsoprado_sopradora,2025-09-25 04:47:00,2025-09-25 04:49:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
146265,20,4689,2629,coldboxsoprado_sopradora,2025-09-25 04:49:00,2025-09-25 04:51:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
146355,20,4689,2629,coldboxsoprado_sopradora,2025-09-25 04:51:00,2025-09-25 04:53:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
146367,20,4689,2629,coldboxsoprado_sopradora,2025-09-25 04:53:00,2025-09-25 04:55:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
146403,20,4690,2629,coldboxsoprado_sopradora,2025-09-25 04:55:00,2025-09-25 04:57:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
146404,20,4690,2629,coldboxsoprado_sopradora,2025-09-25 04:57:00,2025-09-25 04:59:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
146405,20,4690,2629,coldboxsoprado_sopradora,2025-09-25 04:59:00,2025-09-25 05:01:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
146455,20,4805,2629,coldboxsoprado_sopradora,2025-09-25 05:01:00,2025-09-25 05:05:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,4.0
146456,20,4805,2629,coldboxsoprado_sopradora,2025-09-25 05:05:00,2025-09-25 05:09:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,4.0
146457,20,4805,2629,coldboxsoprado_sopradora,2025-09-25 05:09:00,2025-09-25 05:13:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,4.0
145266,20,5134,2629,coldboxsoprado_sopradora,2025-09-25 05:13:00,2025-09-25 05:21:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,8.0
145293,20,5135,2629,coldboxsoprado_sopradora,2025-09-25 05:21:00,2025-09-25 05:29:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,8.0
146367,4,4689,386,coldboxsoprado_sopradora,2025-09-25 05:39:00,2025-09-25 05:41:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,2.0
145266,7,5134,834,coldboxsoprado_sopradora,2025-09-25 05:51:00,2025-09-25 05:55:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,4.0
145293,7,5135,841,coldboxsoprado_sopradora,2025-09-25 05:55:00,2025-09-25 06:09:00,2025-09-25,2025-09-26,A,0,1,2025-09-25,0,14.0
146368,4,4689,386,coldboxsoprado_sopradora,2025-09-25 06:09:00,2025-09-25 06:11:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,2.0
146369,4,4689,386,coldboxsoprado_sopradora,2025-09-25 06:11:00,2025-09-25 06:13:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,2.0
146370,4,4689,386,coldboxsoprado_sopradora,2025-09-25 06:13:00,2025-09-25 06:15:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,2.0
146406,4,4690,385,coldboxsoprado_sopradora,2025-09-25 06:15:00,2025-09-25 06:17:00,2025-09-25,2025-09-26,A,0,0,2025-09-25,0,2.0
