OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id
144185,30.0,2926.0,pepset_carrossel,2025-09-26 04:10:00,2025-09-26,2025-09-26,0,10,2025-09-26 04:00:00,13
145489,1.0,2675.0,pepset_carrossel,2025-09-26 04:50:00,2025-09-26,2025-09-26,0,50,2025-09-26 04:00:00,13
145489,2.0,2676.0,pepset_carrossel,2025-09-26 04:30:00,2025-09-26,2025-09-26,0,20,2025-09-26 04:10:00,13
145541,30.0,2926.0,pepset_carrossel,2025-09-25 04:20:00,2025-09-25,2025-09-25,0,10,2025-09-25 04:10:00,13
145945,1.0,2920.0,pepset_carrossel,2025-09-26 12:35:00,2025-09-26,2025-09-26,0,160,2025-09-26 09:55:00,13
146035,1.0,2920.0,pepset_carrossel,2025-09-26 09:55:00,2025-09-26,2025-09-26,0,205,2025-09-26 06:30:00,13
146120,1.0,90.0,pepset_carrossel,2025-09-25 09:55:00,2025-09-25,2025-09-25,0,185,2025-09-25 06:50:00,13
146121,1.0,90.0,pepset_carrossel,2025-09-26 12:25:00,2025-09-26,2025-09-26,0,245,2025-09-26 08:20:00,13
146121,2.0,91.0,pepset_carrossel,2025-09-26 15:55:00,2025-09-26,2025-09-26,0,210,2025-09-26 12:25:00,13
146121,3.0,92.0,pepset_carrossel,2025-09-26 14:05:00,2025-09-26,2025-09-26,0,210,2025-09-26 10:35:00,13
146121,4.0,93.0,pepset_carrossel,2025-09-26 20:00:00,2025-09-26,2025-09-26,0,245,2025-09-26 15:55:00,13
146194,29.0,2925.0,pepset_carrossel,2025-09-25 04:30:00,2025-09-25,2025-09-25,0,10,2025-09-25 04:20:00,13
146290,1.0,87.0,pepset_carrossel,2025-09-26 21:30:00,2025-09-26,2025-09-26,0,245,2025-09-26 17:25:00,13
146290,2.0,88.0,pepset_carrossel,2025-09-26 14:15:00,2025-09-26,2025-09-26,0,210,2025-09-26 10:45:00,13
146290,3.0,89.0,pepset_carrossel,2025-09-26 17:25:00,2025-09-26,2025-09-26,0,200,2025-09-26 14:05:00,13
146290,4.0,94.0,pepset_carrossel,2025-09-26 10:45:00,2025-09-26,2025-09-26,0,245,2025-09-26 06:40:00,13
