OP,caixa,_kf_macho,maquina,fim,not_before_date,Deadline,config,tempo_processamento,inicio,status_integration_id,obs
145271,1.0,2919.0,pepset_carrossel,2025-10-01 08:40:00,2025-10-01,2025-10-01,0,160,2025-10-01 06:00:00,15,
145564,1.0,2699.0,pepset_carrossel,2025-10-01 05:20:00,2025-10-01,2025-10-01,0,40,2025-10-01 04:40:00,15,
145566,1.0,2701.0,pepset_carrossel,2025-10-01 06:00:00,2025-10-01,2025-10-01,0,40,2025-10-01 05:20:00,15,
145800,1.0,2562.0,pepset_carrossel,2025-10-02 07:40:00,2025-10-02,2025-10-02,0,80,2025-10-02 06:20:00,15,
145800,2.0,2563.0,pepset_carrossel,2025-10-02 06:00:00,2025-10-02,2025-10-02,0,80,2025-10-02 04:40:00,15,
145800,3.0,2564.0,pepset_carrossel,2025-10-02 14:55:00,2025-10-02,2025-10-02,0,80,2025-10-02 13:35:00,15,
145800,5.0,2566.0,pepset_carrossel,2025-10-02 09:00:00,2025-10-02,2025-10-02,0,80,2025-10-02 07:40:00,15,
145800,6.0,2567.0,pepset_carrossel,2025-10-02 09:00:00,2025-10-02,2025-10-02,0,80,2025-10-02 07:40:00,15,
145800,7.0,2568.0,pepset_carrossel,2025-10-02 06:40:00,2025-10-02,2025-10-02,0,80,2025-10-02 05:20:00,15,
146136,30.0,2926.0,pepset_carrossel,2025-09-30 04:10:00,2025-09-30,2025-09-30,0,10,2025-09-30 04:00:00,15,
146245,1.0,90.0,pepset_carrossel,2025-09-30 05:20:00,2025-09-30,2025-09-30,0,50,2025-09-30 04:30:00,15,
146246,1.0,90.0,pepset_carrossel,2025-09-30 09:00:00,2025-09-30,2025-09-30,0,200,2025-09-30 05:40:00,15,
146258,1.0,90.0,pepset_carrossel,2025-10-01 14:25:00,2025-10-01,2025-10-01,0,210,2025-10-01 10:55:00,15,
146258,2.0,91.0,pepset_carrossel,2025-10-01 10:55:00,2025-10-01,2025-10-01,0,235,2025-10-01 07:00:00,15,
146258,3.0,92.0,pepset_carrossel,2025-10-01 12:25:00,2025-10-01,2025-10-01,0,225,2025-10-01 08:40:00,15,
146258,4.0,93.0,pepset_carrossel,2025-10-01 15:55:00,2025-10-01,2025-10-01,0,210,2025-10-01 12:25:00,15,
146259,1.0,90.0,pepset_carrossel,2025-10-02 10:45:00,2025-10-02,2025-10-02,0,245,2025-10-02 06:40:00,15,
146259,2.0,91.0,pepset_carrossel,2025-10-02 13:05:00,2025-10-02,2025-10-02,0,200,2025-10-02 09:45:00,15,
146259,3.0,92.0,pepset_carrossel,2025-10-02 16:55:00,2025-10-02,2025-10-02,0,200,2025-10-02 13:35:00,15,
146259,4.0,93.0,pepset_carrossel,2025-10-02 07:20:00,2025-10-02,2025-10-02,0,200,2025-10-02 04:00:00,15,
146260,1.0,90.0,pepset_carrossel,2025-10-03 15:05:00,2025-10-03,2025-10-03,0,210,2025-10-03 11:35:00,15,
146260,2.0,91.0,pepset_carrossel,2025-10-03 16:55:00,2025-10-03,2025-10-03,0,200,2025-10-03 13:35:00,15,
146260,3.0,92.0,pepset_carrossel,2025-10-03 14:55:00,2025-10-03,2025-10-03,0,210,2025-10-03 11:25:00,15,
146260,4.0,93.0,pepset_carrossel,2025-10-03 11:25:00,2025-10-03,2025-10-03,0,245,2025-10-03 07:20:00,15,
146292,1.0,87.0,pepset_carrossel,2025-10-02 17:35:00,2025-10-02,2025-10-02,0,200,2025-10-02 14:15:00,15,
146292,2.0,88.0,pepset_carrossel,2025-10-02 12:05:00,2025-10-02,2025-10-02,0,245,2025-10-02 08:00:00,15,
146292,3.0,89.0,pepset_carrossel,2025-10-02 13:35:00,2025-10-02,2025-10-02,0,210,2025-10-02 10:05:00,15,
146292,4.0,94.0,pepset_carrossel,2025-10-02 21:00:00,2025-10-02,2025-10-02,0,245,2025-10-02 16:55:00,15,
146293,1.0,87.0,pepset_carrossel,2025-10-03 21:00:00,2025-10-03,2025-10-03,0,245,2025-10-03 16:55:00,15,
146293,2.0,88.0,pepset_carrossel,2025-10-03 10:05:00,2025-10-03,2025-10-03,0,245,2025-10-03 06:00:00,15,
146293,3.0,89.0,pepset_carrossel,2025-10-03 19:00:00,2025-10-03,2025-10-03,0,245,2025-10-03 14:55:00,15,
146293,4.0,94.0,pepset_carrossel,2025-10-03 13:35:00,2025-10-03,2025-10-03,0,210,2025-10-03 10:05:00,15,
146380,2.0,114.0,pepset_carrossel,2025-10-01 07:00:00,2025-10-01,2025-10-01,0,40,2025-10-01 06:20:00,15,
146381,2.0,114.0,pepset_carrossel,2025-10-01 06:20:00,2025-10-01,2025-10-01,0,40,2025-10-01 05:40:00,15,
146382,2.0,114.0,pepset_carrossel,2025-10-02 15:35:00,2025-10-02,2025-10-02,0,40,2025-10-02 14:55:00,15,
146383,2.0,114.0,pepset_carrossel,2025-10-02 11:45:00,2025-10-02,2025-10-02,0,40,2025-10-02 11:05:00,15,
146384,2.0,114.0,pepset_carrossel,2025-10-03 15:45:00,2025-10-03,2025-10-03,0,40,2025-10-03 15:05:00,15,
146385,2.0,114.0,pepset_carrossel,2025-10-03 16:25:00,2025-10-03,2025-10-03,0,40,2025-10-03 15:45:00,15,
146418,2.0,114.0,pepset_carrossel,2025-10-01 05:40:00,2025-10-01,2025-10-01,0,40,2025-10-01 05:00:00,15,
146419,2.0,114.0,pepset_carrossel,2025-10-01 05:00:00,2025-10-01,2025-10-01,0,40,2025-10-01 04:20:00,15,
146420,2.0,114.0,pepset_carrossel,2025-10-02 12:25:00,2025-10-02,2025-10-02,0,40,2025-10-02 11:45:00,15,
146421,2.0,114.0,pepset_carrossel,2025-10-02 14:55:00,2025-10-02,2025-10-02,0,40,2025-10-02 14:15:00,15,
146422,2.0,114.0,pepset_carrossel,2025-10-03 11:35:00,2025-10-03,2025-10-03,0,40,2025-10-03 10:55:00,15,
146423,2.0,114.0,pepset_carrossel,2025-10-03 04:50:00,2025-10-03,2025-10-03,0,40,2025-10-03 04:10:00,15,
146441,1.0,87.0,pepset_carrossel,2025-10-02 14:15:00,2025-10-02,2025-10-02,0,210,2025-10-02 10:45:00,15,
146441,2.0,88.0,pepset_carrossel,2025-10-02 19:00:00,2025-10-02,2025-10-02,0,245,2025-10-02 14:55:00,15,
146441,3.0,89.0,pepset_carrossel,2025-10-02 16:55:00,2025-10-02,2025-10-02,0,200,2025-10-02 13:35:00,15,
146441,4.0,94.0,pepset_carrossel,2025-10-02 10:05:00,2025-10-02,2025-10-02,0,245,2025-10-02 06:00:00,15,
146468,6.0,2695.0,pepset_carrossel,2025-10-02 13:35:00,2025-10-02,2025-10-02,0,90,2025-10-02 12:05:00,15,
146468,7.0,2696.0,pepset_carrossel,2025-10-02 05:20:00,2025-10-02,2025-10-02,0,80,2025-10-02 04:00:00,15,
146468,8.0,2697.0,pepset_carrossel,2025-10-02 06:20:00,2025-10-02,2025-10-02,0,80,2025-10-02 05:00:00,15,
146468,9.0,2698.0,pepset_carrossel,2025-10-02 16:55:00,2025-10-02,2025-10-02,0,80,2025-10-02 15:35:00,15,
146469,6.0,2695.0,pepset_carrossel,2025-10-02 08:00:00,2025-10-02,2025-10-02,0,80,2025-10-02 06:40:00,15,
146469,7.0,2696.0,pepset_carrossel,2025-10-02 06:40:00,2025-10-02,2025-10-02,0,80,2025-10-02 05:20:00,15,
146469,8.0,2697.0,pepset_carrossel,2025-10-02 14:15:00,2025-10-02,2025-10-02,0,90,2025-10-02 12:45:00,15,
146469,9.0,2698.0,pepset_carrossel,2025-10-02 11:05:00,2025-10-02,2025-10-02,0,80,2025-10-02 09:45:00,15,
146470,6.0,2695.0,pepset_carrossel,2025-10-03 06:10:00,2025-10-03,2025-10-03,0,80,2025-10-03 04:50:00,15,
146470,7.0,2696.0,pepset_carrossel,2025-10-03 10:55:00,2025-10-03,2025-10-03,0,125,2025-10-03 08:50:00,15,
146470,8.0,2697.0,pepset_carrossel,2025-10-03 19:50:00,2025-10-03,2025-10-03,0,125,2025-10-03 17:45:00,15,
146470,9.0,2698.0,pepset_carrossel,2025-10-03 07:00:00,2025-10-03,2025-10-03,0,80,2025-10-03 05:40:00,15,
146471,6.0,2695.0,pepset_carrossel,2025-10-03 17:45:00,2025-10-03,2025-10-03,0,80,2025-10-03 16:25:00,15,
146471,7.0,2696.0,pepset_carrossel,2025-10-03 07:30:00,2025-10-03,2025-10-03,0,80,2025-10-03 06:10:00,15,
146471,8.0,2697.0,pepset_carrossel,2025-10-03 08:50:00,2025-10-03,2025-10-03,0,80,2025-10-03 07:30:00,15,
146471,9.0,2698.0,pepset_carrossel,2025-10-03 05:20:00,2025-10-03,2025-10-03,0,80,2025-10-03 04:00:00,15,
146506,30.0,2926.0,pepset_carrossel,2025-09-30 04:30:00,2025-09-30,2025-09-30,0,10,2025-09-30 04:20:00,15,
146507,30.0,2926.0,pepset_carrossel,2025-10-01 04:10:00,2025-10-01,2025-10-01,0,10,2025-10-01 04:00:00,15,
146669,29.0,2925.0,pepset_carrossel,2025-10-03 05:30:00,2025-10-03,2025-10-03,0,10,2025-10-03 05:20:00,15,
146689,1.0,2774.0,pepset_carrossel,2025-10-01 04:20:00,2025-10-01,2025-10-01,0,20,2025-10-01 04:00:00,15,
146690,1.0,2775.0,pepset_carrossel,2025-10-01 04:40:00,2025-10-01,2025-10-01,0,20,2025-10-01 04:20:00,15,
146730,30.0,2926.0,pepset_carrossel,2025-09-30 05:40:00,2025-09-30,2025-09-30,0,10,2025-09-30 05:30:00,15,
146779,30.0,2926.0,pepset_carrossel,2025-09-30 05:30:00,2025-09-30,2025-09-30,0,10,2025-09-30 05:20:00,15,
146943,29.0,2925.0,pepset_carrossel,2025-10-03 05:40:00,2025-10-03,2025-10-03,0,10,2025-10-03 05:30:00,15,
146970,30.0,2926.0,pepset_carrossel,2025-10-01 04:20:00,2025-10-01,2025-10-01,0,10,2025-10-01 04:10:00,15,
146971,29.0,2925.0,pepset_carrossel,2025-10-03 07:10:00,2025-10-03,2025-10-03,0,10,2025-10-03 07:00:00,15,
147201,30.0,2926.0,pepset_carrossel,2025-09-30 04:20:00,2025-09-30,2025-09-30,0,10,2025-09-30 04:10:00,15,
147266,1.0,2562.0,pepset_carrossel,2025-10-02 05:00:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:40:00,15,
147266,2.0,2563.0,pepset_carrossel,2025-10-02 04:40:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:20:00,15,
147266,3.0,2564.0,pepset_carrossel,2025-10-02 05:00:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:40:00,15,
147266,5.0,2566.0,pepset_carrossel,2025-10-02 04:20:00,2025-10-02,2025-10-02,0,20,2025-10-02 04:00:00,15,
147266,6.0,2567.0,pepset_carrossel,2025-10-02 07:40:00,2025-10-02,2025-10-02,0,20,2025-10-02 07:20:00,15,
