id,_kf_producao,dataFusao,ordenacao,_kf_FichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machos_por,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,qtd_moldes,tempo_ciclo,Tempo Total (minutos),not_before_date,deadline,dataHoraProcess,_kf_statusIntegration,status_integration_id,status_create_date,dt,machine_name,lateness,obs
8057,146973,2025-10-03,17,4587,3,,coldboxgasado,coldboxpequena,Silica,8,0,peça,,0,18,0,3,,3,,2025-10-01,2025-10-01,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxgasado_coldboxpequena,0,"erro, algum dado faltando, operação não será considerada."
7621,145776,2025-10-09,7,4054,1,828,pepset,chao,Silica,20,1,peça,1,2,12,0,12,12,15,180,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_chao,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7622,145776,2025-10-09,7,4054,2,829,pepset,carrossel,Silica,27,1,peça,1,1,12,0,12,12,1,15,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7623,145776,2025-10-09,7,4054,3,830,pepset,carrossel,Silica,6,1,peça,1,1,12,0,12,12,1,15,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7624,145776,2025-10-09,7,4054,4,831,pepset,carrossel,Silica,6,1,peça,1,1,12,0,12,12,1,15,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7625,145776,2025-10-09,7,4054,5,839,pepset,carrossel,Silica,1,1,peça,1,2,12,0,12,12,1,15,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7626,145776,2025-10-09,7,4054,6,840,coldboxsoprado,sopradora,Silica,2,1,peça,4,1,12,0,12,3,1,4,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxsoprado_sopradora,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7627,145776,2025-10-09,7,4054,7,834,coldboxsoprado,sopradora,Silica,1,1,peça,4,1,12,0,12,3,1,4,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,coldboxsoprado_sopradora,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7628,145788,2025-10-09,15,4073,1,835,pepset,chao,Silica,20,1,peça,1,2,12,0,12,12,15,180,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_chao,0,"erro, not before date posterior a sexta feira, operação não será considerada."
7629,145788,2025-10-09,15,4073,2,836,pepset,carrossel,Silica,27,1,peça,1,1,12,0,12,12,1,15,2025-10-07,2025-10-07,30/09/2025 07:59:16,15,15,2025-09-30 07:59:16.973333,2025-09-30,pepset_carrossel,0,"erro, not before date posterior a sexta feira, operação não será considerada."
